rank,playerId,name,pos,pos_rank,team,league_pts,vorp,draft_value,adp,sd_pts,fp_pts,ecr,ecr_tier,sos,fp_adp,fp_best,fp_worst,fp_std,fp_up,fp_bust,wk25
1,23189,Bijan Robinson,RB,1,ATL,157.25,62.69,62.7,0.5,,,2.0,1.0,2.0,2.0,1.0,2.0,0.6,5.0,1.0,17.0
2,23200,Jahmyr Gibbs,RB,2,DET,155.44,60.88,60.9,0.2,,,1.0,1.0,5.0,1.0,1.0,2.0,0.6,5.0,1.0,17.0
3,24172,Puka Nacua,WR,1,LAR,156.26,60.77,60.8,1.0,,,4.0,1.0,1.0,4.0,3.0,4.0,0.6,5.0,2.0,17.0
4,22564,Ja'Marr Chase,WR,2,CIN,149.14,53.65,53.6,0.7,,,3.0,1.0,4.0,3.0,3.0,4.0,0.6,5.0,1.0,17.0
5,23157,Jaxon Smith-Njigba,WR,3,SEA,145.13,49.64,49.6,1.5,,,5.0,2.0,3.0,6.0,5.0,7.0,1.0,5.0,2.0,17.0
6,18877,Christian McCaffrey,RB,3,SF,143.56,49.0,49.0,1.2,,,9.0,2.0,2.0,5.0,6.0,20.0,7.8,4.0,4.0,17.0
7,22587,Amon-Ra St. Brown,WR,4,DET,139.65,44.16,44.2,1.9,,,6.0,2.0,4.0,8.0,5.0,8.0,1.5,5.0,1.0,17.0
8,23251,Trey McBride,TE,1,ARI,118.55,40.78,40.8,12.3,,,23.0,4.0,2.0,21.0,26.0,33.0,3.8,4.0,2.0,17.0
9,21682,Jonathan Taylor,RB,4,IND,133.21,38.65,38.6,1.7,,,7.0,2.0,4.0,7.0,8.0,12.0,2.1,4.0,3.0,17.0
10,24943,Brock Bowers,TE,2,LV,112.27,34.5,34.5,10.4,,,18.0,3.0,3.0,21.7,10.0,20.0,5.0,5.0,2.0,17.0
11,24179,De'Von Achane,RB,5,MIA,127.99,33.43,33.4,2.9,,,25.0,4.0,3.0,13.7,17.0,18.0,0.6,4.0,4.0,17.0
12,21679,CeeDee Lamb,WR,5,DAL,122.33,26.84,26.8,2.4,,,8.0,2.0,2.0,11.7,10.0,16.0,3.2,4.0,2.0,17.0
13,21685,Justin Jefferson,WR,6,MIN,121.76,26.27,26.3,2.7,,,11.0,2.0,5.0,11.0,11.0,30.0,10.0,5.0,2.0,17.0
14,24374,Chase Brown,RB,6,CIN,119.69,25.13,25.1,3.2,,,20.0,4.0,2.0,14.7,9.0,14.0,2.5,5.0,2.0,17.0
15,23247,James Cook III,RB,7,BUF,118.09,23.53,23.5,2.2,,,10.0,2.0,2.0,9.3,5.0,12.0,3.6,4.0,2.0,17.0
16,23151,Drake London,WR,7,ATL,117.93,22.44,22.4,4.9,,,13.0,3.0,3.0,18.3,14.0,19.0,2.5,5.0,2.0,17.0
17,19801,Josh Allen,QB,1,BUF,166.69,18.62,18.6,11.8,,,22.0,4.0,3.0,20.7,29.0,42.0,6.5,5.0,2.0,17.0
18,19766,Saquon Barkley,RB,8,PHI,112.21,17.65,17.6,3.4,,,16.0,3.0,4.0,13.7,15.0,34.0,10.0,4.0,3.0,17.0
19,21042,A.J. Brown,WR,8,NE,112.74,17.25,17.2,4.6,,,14.0,3.0,2.0,22.0,9.0,20.0,6.1,5.0,2.0,17.0
20,25868,Ashton Jeanty,RB,9,LV,111.64,17.08,17.1,3.9,,,17.0,3.0,2.0,11.3,8.0,19.0,5.6,5.0,2.0,17.0
21,24120,Rashee Rice,WR,9,KC,112.17,16.68,16.7,13.8,,,27.0,4.0,2.0,30.0,21.0,57.0,18.7,4.0,4.0,17.0
22,23214,Kenneth Walker,RB,10,KC,110.37,15.81,15.8,4.4,,,24.0,4.0,3.0,17.3,13.0,14.0,0.6,4.0,3.0,17.0
23,22565,Chris Olave,WR,10,NO,111.3,15.81,15.8,12.8,,,26.0,4.0,3.0,28.7,22.0,31.0,4.5,4.0,4.0,17.0
24,23153,George Pickens,WR,11,DAL,111.03,15.54,15.5,10.8,,,19.0,3.0,2.0,24.3,21.0,25.0,2.1,4.0,4.0,17.0
25,25869,Colston Loveland,TE,3,CHI,93.26,15.49,15.5,24.2,,,39.0,5.0,2.0,42.7,26.0,35.0,4.6,5.0,2.0,11.0
26,21756,Nico Collins,WR,12,HOU,110.8,15.31,15.3,11.3,,,15.0,3.0,3.0,24.0,15.0,22.0,3.8,4.0,3.0,17.0
27,23120,Zay Flowers,WR,13,BAL,110.09,14.6,14.6,17.3,,,30.0,4.0,4.0,38.3,27.0,28.0,0.6,4.0,2.0,17.0
28,25956,Omarion Hampton,RB,11,LAC,108.32,13.76,13.8,3.6,,,21.0,4.0,3.0,15.3,13.0,17.0,2.1,5.0,3.0,17.0
29,26768,Jeremiyah Love,RB,12,ARI,108.22,13.66,13.7,14.3,,,41.0,5.0,2.0,26.7,23.0,40.0,9.5,5.0,2.0,
30,17959,Derrick Henry,RB,13,BAL,107.77,13.21,13.2,4.1,,,12.0,3.0,3.0,19.7,22.0,28.0,3.2,4.0,2.0,17.0
31,19781,Lamar Jackson,QB,2,BAL,160.13,12.06,12.1,26.1,,,28.0,4.0,3.0,37.7,43.0,54.0,5.7,4.0,4.0,17.0
32,22526,Breece Hall,RB,14,NYJ,106.61,12.05,12.1,16.8,,,40.0,5.0,3.0,33.0,23.0,39.0,9.0,4.0,4.0,17.0
33,21687,DeVonta Smith,WR,14,PHI,106.32,10.83,10.8,15.8,,,33.0,4.0,4.0,33.0,27.0,32.0,2.5,4.0,2.0,17.0
34,23122,Garrett Wilson,WR,15,NYJ,106.16,10.67,10.7,21.7,,,51.0,5.0,4.0,44.3,36.0,40.0,2.1,4.0,4.0,17.0
35,25874,Tyler Warren,TE,4,IND,87.63,9.86,9.9,34.0,,,64.0,6.0,3.0,51.7,41.0,47.0,3.2,4.0,2.0,17.0
36,24958,Drake Maye,QB,3,NE,157.75,9.68,9.7,38.0,,,36.0,5.0,2.0,52.0,41.0,53.0,6.2,5.0,2.0,17.0
37,24953,Malik Nabers,WR,16,NYG,104.01,8.52,8.5,13.3,,,29.0,4.0,4.0,32.0,25.0,38.0,6.7,4.0,4.0,4.0
38,25870,Harold Fannin Jr.,TE,5,CLE,85.65,7.88,7.9,52.8,,,85.0,7.0,3.0,68.3,67.0,110.0,21.9,4.0,3.0,16.0
39,21693,Joe Burrow,QB,4,CIN,155.35,7.28,7.3,39.4,,,43.0,5.0,3.0,51.7,53.0,66.0,6.6,4.0,3.0,10.0
40,26054,Tetairoa McMillan,WR,17,CAR,102.72,7.23,7.2,20.7,,,37.0,5.0,2.0,39.0,30.0,65.0,19.7,3.0,4.0,17.0
41,21696,Travis Etienne Jr.,RB,15,NO,101.81,7.25,7.2,18.7,,,50.0,5.0,3.0,40.7,39.0,66.0,14.0,4.0,3.0,17.0
42,22508,Kyle Pitts Sr.,TE,6,ATL,84.9,7.13,7.1,54.7,,,87.0,7.0,3.0,74.0,66.0,86.0,10.0,4.0,4.0,17.0
43,23235,Jayden Daniels,QB,5,WAS,154.33,6.26,6.3,48.3,,,48.0,5.0,2.0,59.3,63.0,72.0,4.7,4.0,4.0,17.0
44,22558,Javonte Williams,RB,16,DAL,99.42,4.86,4.9,15.3,,,38.0,5.0,4.0,31.0,18.0,43.0,13.1,4.0,3.0,17.0
