Pick,Player,Position,Team
1,Ja'Marr Chase , WR,Rule #76
2,Tony Pollard , RB,Garretteed Satisfaction
3,Travis Kelce, TE,Thom-ASS
4,Justin Jefferson , WR,Jim Ward's Ole Dick Necks
5,Nick Chubb , RB,You Can Chuck the Tubb
6,Bijan Robinson , RB,Bijan mustard
7,Saquon Barkley , RB,Christopher's Kryptonite
8,Austin Ekeler , RB,Men of Will
9,Derrick Henry , RB,King Me
10,Christian McCaffrey, RB,Amon-Ra Dog
11,Najee Harris , RB,Pour One Out For Mahomies!!
12,Cooper Kupp , WR,SCLSU Mud Dogs
13,Tyreek Hill , WR,SCLSU Mud Dogs
14,Patrick Mahomes, QB,Pour One Out For Mahomies!!
15,Amon-Ra St. Brown , WR,Amon-Ra Dog
16,Davante Adams, WR,King Me
17,Josh Jacobs, RB,Men of Will
18,CeeDee Lamb , WR,Christopher's Kryptonite
19,Jonathan Taylor , RB,Bijan mustard
20,Joe Mixon , RB,You Can Chuck the Tubb
21,Aaron Jones , RB,Jim Ward's Ole Dick Necks
22,Stefon Diggs , WR,Thom-ASS
23,Garrett Wilson , WR,Garretteed Satisfaction
24,A.J. Brown , WR,Rule #76
25,Jahmyr Gibbs , RB,Rule #76
26,Chris Olave, WR,Garretteed Satisfaction
27,Lamar Jackson , QB,Thom-ASS
28,Jalen Hurts , QB,Jim Ward's Ole Dick Necks
29,Deebo Samuel, WR,You Can Chuck the Tubb
30,Jaylen Waddle , WR,Bijan mustard
31,Mark Andrews , TE,Christopher's Kryptonite
32,Josh Allen , QB,Men of Will
33,Travis Etienne Jr. , RB,King Me
34,DeVonta Smith , WR,Amon-Ra Dog
35,Tee Higgins , WR,Pour One Out For Mahomies!!
36,Rhamondre Stevenson, RB,SCLSU Mud Dogs
37,Joe Burrow , QB,SCLSU Mud Dogs
38,Breece Hall , RB,Pour One Out For Mahomies!!
39,Jerry Jeudy , WR,Amon-Ra Dog
40,Justin Herbert , QB,King Me
41,Calvin Ridley , WR,Men of Will
42,Justin Fields , QB,Christopher's Kryptonite
43,T.J. Hockenson , TE,Bijan mustard
44,Amari Cooper , WR,You Can Chuck the Tubb
45,Alexander Mattison, RB,Jim Ward's Ole Dick Necks
46,Dameon Pierce , RB,Thom-ASS
47,DK Metcalf , WR,Garretteed Satisfaction
48,Trevor Lawrence , QB,Rule #76
49,Kenneth Walker III , RB,Rule #76
50,Darren Waller , TE,Garretteed Satisfaction
51,James Conner , RB,Thom-ASS
52,DeAndre Hopkins , WR,Jim Ward's Ole Dick Necks
53,Michael Pittman Jr. , WR,You Can Chuck the Tubb
54,Deshaun Watson , QB,Bijan mustard
55,Miles Sanders , RB,Christopher's Kryptonite
56,Christian Watson, WR,Men of Will
57,Keenan Allen , WR,King Me
58,Rachaad White, RB,Amon-Ra Dog
59,DJ Moore , WR,Pour One Out For Mahomies!!
60,J.K. Dobbins , RB,SCLSU Mud Dogs
61,Cam Akers , RB,SCLSU Mud Dogs
62,George Kittle, TE,Pour One Out For Mahomies!!
63,Khalil Herbert , RB,Amon-Ra Dog
64,Dallas Goedert , TE,King Me
65,Chris Godwin, WR,Men of Will
66,Drake London , WR,Christopher's Kryptonite
67,Christian Kirk , WR,Bijan mustard
68,Dalvin Cook , RB,You Can Chuck the Tubb
69,Isiah Pacheco, RB,Jim Ward's Ole Dick Necks
70,Mike Evans, WR,Thom-ASS
71,James Cook , RB,Garretteed Satisfaction
72,Terry McLaurin , WR,Rule #76
73,Javonte Williams , RB,Rule #76
74,Alvin Kamara, RB,Garretteed Satisfaction
75,Marquise Brown, WR,Thom-ASS
76,Jamaal Williams, RB,Jim Ward's Ole Dick Necks
77,Kirk Cousins , QB,You Can Chuck the Tubb
78,David Montgomery , RB,Bijan mustard
79,Brandon Aiyuk, WR,Christopher's Kryptonite
80,D'Andre Swift , RB,Men of Will
81,Mike Williams , WR,King Me
82,Kyle Pitts , TE,Amon-Ra Dog
83,Tyler Lockett , WR,Pour One Out For Mahomies!!
84,Brian Robinson Jr. , RB,SCLSU Mud Dogs
85,Diontae Johnson , WR,SCLSU Mud Dogs
86,AJ Dillon, RB,Pour One Out For Mahomies!!
87,George Pickens , WR,Amon-Ra Dog
88,Brandin Cooks , WR,King Me
89,Courtland Sutton , WR,Men of Will
90,Gabe Davis , WR,Christopher's Kryptonite
91,Jaxon Smith-Njigba , WR,Bijan mustard
92,Jerick McKinnon, RB,You Can Chuck the Tubb
93,Rashaad Penny , RB,Jim Ward's Ole Dick Necks
94,Antonio Gibson, RB,Thom-ASS
95,Dak Prescott , QB,Garretteed Satisfaction
96,Evan Engram , TE,Rule #76
97,Jordan Addison , WR,Rule #76
98,Skyy Moore, WR,Garretteed Satisfaction
99,Treylon Burks , WR,Thom-ASS
100,Jahan Dotson , WR,Jim Ward's Ole Dick Necks
101,Mike Gesicki , TE,You Can Chuck the Tubb
102,49ers D/ST, D/ST,Bijan mustard
103,Samaje Perine , RB,Christopher's Kryptonite
104,Michael Thomas, WR,Men of Will
105,DJ Chark Jr. , WR,King Me
106,Aaron Rodgers , QB,Amon-Ra Dog
107,JuJu Smith-Schuster, WR,Pour One Out For Mahomies!!
108,Damien Harris , RB,SCLSU Mud Dogs
109,Elijah Moore , WR,SCLSU Mud Dogs
110,Jets D/ST , D/ST,Pour One Out For Mahomies!!
111,Anthony Richardson , QB,Amon-Ra Dog
112,Jakobi Meyers, WR,King Me
113,Adam Thielen , WR,Men of Will
114,De'Von Achane , RB,Christopher's Kryptonite
115,Devin Singletary , RB,Bijan mustard
116,Fred Warner, LB,You Can Chuck the Tubb
117,Dalton Kincaid , TE,Jim Ward's Ole Dick Necks
118,Zay Flowers , WR,Thom-ASS
119,Zach Charbonnet , RB,Garretteed Satisfaction
120,Kenneth Gainwell , RB,Rule #76
121,Ezekiel Elliott, RB,Rule #76
122,Nico Collins , WR,Garretteed Satisfaction
123,Tyler Bass , K,Thom-ASS
124,Cole Kmet , TE,Jim Ward's Ole Dick Necks
125,Justin Tucker , K,You Can Chuck the Tubb
126,Odell Beckham Jr., WR,Bijan mustard
127,Foyesade Oluokun , LB,Christopher's Kryptonite
128,Bills D/ST , D/ST,Men of Will
129,Raheem Mostert , RB,King Me
130,Eagles D/ST , D/ST,Amon-Ra Dog
131,Harrison Butker, K,Pour One Out For Mahomies!!
132,Pat Freiermuth , TE,SCLSU Mud Dogs
133,C.J. Mosley , LB,SCLSU Mud Dogs
134,Roquan Smith , LB,Pour One Out For Mahomies!!
135,Devin White , LB,Amon-Ra Dog
136,Nick Bolton, LB,King Me
137,David Njoku , TE,Men of Will
138,Kadarius Toney, WR,Christopher's Kryptonite
139,Shaquille Leonard , LB,Bijan mustard
140,Patriots D/ST, D/ST,You Can Chuck the Tubb
141,Josh Downs , WR,Jim Ward's Ole Dick Necks
142,Cowboys D/ST , D/ST,Thom-ASS
143,Bobby Okereke , LB,Garretteed Satisfaction
144,Evan McPherson , K,Rule #76
145,Bobby Wagner , LB,Rule #76
146,Elijah Mitchell, RB,Garretteed Satisfaction
147,Micah Parsons , DE,Thom-ASS
148,Tank Bigsby , RB,Jim Ward's Ole Dick Necks
149,Kyler Murray , QB,You Can Chuck the Tubb
150,Quez Watkins , WR,Bijan mustard
151,Tua Tagovailoa , QB,Christopher's Kryptonite
152,Zaire Franklin , LB,Men of Will
153,Dolphins D/ST , D/ST,King Me
154,Daniel Carlson, K,Amon-Ra Dog
155,Jeff Wilson Jr. , RB,Pour One Out For Mahomies!!
156,Chigoziem Okonkwo , TE,SCLSU Mud Dogs
157,Tyler Allgeier , RB,SCLSU Mud Dogs
158,Dalton Schultz , TE,Pour One Out For Mahomies!!
159,Jonathan Mingo , WR,Amon-Ra Dog
160,Brett Maher , K,King Me
161,Matt Gay , K,Men of Will
162,Younghoe Koo , K,Christopher's Kryptonite
163,Graham Gano , K,Bijan mustard
164,Mecole Hardman, WR,You Can Chuck the Tubb
165,Broncos D/ST , D/ST,Jim Ward's Ole Dick Necks
166,Quentin Johnston , WR,Thom-ASS
167,Kenny Pickett , QB,Garretteed Satisfaction
168,Jaylen Warren , RB,Rule #76
169,Jake Ferguson , TE,Rule #76
170,Cairo Santos , K,Garretteed Satisfaction
171,Allen Lazard , WR,Thom-ASS
172,Jason Sanders , K,Jim Ward's Ole Dick Necks
173,Rashod Bateman , WR,You Can Chuck the Tubb
174,Daniel Jones , QB,Bijan mustard
175,Darnell Mooney , WR,Christopher's Kryptonite
176,Michael Gallup , WR,Men of Will
177,Tyler Higbee , TE,King Me
178,Ronald Jones, RB,Amon-Ra Dog
179,Bryce Young , QB,Pour One Out For Mahomies!!
180,Geno Smith , QB,SCLSU Mud Dogs
181,Ravens D/ST , D/ST,SCLSU Mud Dogs
182,Romeo Doubs, WR,Pour One Out For Mahomies!!
183,Gus Edwards , RB,Amon-Ra Dog
184,Rondale Moore , WR,King Me
185,Russell Wilson , QB,Men of Will
186,Bears D/ST , D/ST,Christopher's Kryptonite
187,Clyde Edwards-Helaire, RB,Bijan mustard
188,Roschon Johnson , RB,You Can Chuck the Tubb
189,Isaiah Hodgins , WR,Jim Ward's Ole Dick Necks
190,D'Onta Foreman , RB,Thom-ASS
191,Vikings D/ST , D/ST,Garretteed Satisfaction
192,Derek Carr, QB,Rule #76
193,Bengals D/ST , D/ST,Rule #76
194,Jerome Ford , RB,Garretteed Satisfaction
195,Gerald Everett , TE,Thom-ASS
196,De'Vondre Campbell, LB,Jim Ward's Ole Dick Necks
197,Greg Dulcich , TE,You Can Chuck the Tubb
198,Albert Okwuegbunam , TE,Bijan mustard
199,Chuba Hubbard , RB,Christopher's Kryptonite
200,Kendre Miller, RB,Men of Will
201,Matthew Stafford , QB,King Me
202,Jalin Hyatt , WR,Amon-Ra Dog
203,Nick Bosa, DE,Pour One Out For Mahomies!!
204,Brandon McManus , K,SCLSU Mud Dogs
