team_id,team_name,abbrev,owner,wins,losses,ties,points_for,points_against,reg_season_standing,final_standing,division_id
4,Bell yeah,B,bcornelius2,7,6,0,1417.5,1370.0,8,1,0
1,A team has no name,BSHU,cjhubauer,8,5,0,1390.5,1384.0,3,2,0
11,Dez (Bryant) Nuts,TGIL,Gtgilbert88,7,6,0,1406.5,1446.5,7,3,1
5,Stoned Cold Stunners,SCC,pwes58,7,6,0,1485.0,1548.0,5,4,0
9,Watt Watt in the butt,CTAY,crtaylor225,7,6,0,1523.5,1512.0,4,5,0
3,Jim Ward's Allstars,MUNF,Henry Munford,8,5,0,1482.5,1403.0,2,6,1
10,High Noon,MURP,jtmurphree,9,4,0,1501.0,1370.5,1,7,0
8,Tyrod the Toolman Taylor,TTT,jbray5,7,6,0,1474.5,1378.5,6,8,1
2,FOR WHOM O'DELL TOLLS,ODE,jmodell10,6,7,0,1341.0,1370.0,9,9,1
13,Living Legend,CHMP,tcspivey8,5,8,0,1382.5,1427.0,10,10,1
6,Aaron Rogers Is Mine Now,THOM,zwthomas89,2,11,0,1178.0,1453.0,12,11,0
12,Rule #76,76,dcputman,5,8,0,1587.5,1507.5,11,12,1
