overall_pick,round_num,round_pick,team_id,team_name,owner,player_id,player_name,position,bid_amount,keeper
1,1,1,6,"Dude, Where's  My Lamar",zwthomas89; zthoma7700709,16733,Odell Beckham Jr.,WR,0,False
2,1,2,10,High Noon,jtmurphree,3117251,Christian McCaffrey,RB,0,False
3,1,3,13,Fuck Luck,tcspivey8,2508176,David Johnson,RB,0,False
4,1,4,8,SCLSU Mud Dogs,jbray5,15795,DeAndre Hopkins,WR,0,False
5,1,5,1,Below Average Joes,cjhubauer,16800,Davante Adams,WR,0,False
6,1,6,3,Jim Ward's Ole Dick Necks,Henry Munford,15825,Le'Veon Bell,RB,0,False
7,1,7,11,Dez (Bryant) Nuts,Gtgilbert88,3051392,Ezekiel Elliott,RB,0,False
8,1,8,9,Tonie's Tigers,crtaylor225,3045147,James Conner,RB,0,False
9,1,9,5,Remember the Fucking Titans,payton9218600,3054850,Alvin Kamara,RB,0,False
10,1,10,12,Rule  #76,dcputman,3128720,Nick Chubb,RB,0,False
11,1,11,2,Rodger  That,jmodell10,2977644,Todd Gurley II,RB,0,False
12,1,12,4,The New Guy,Josh Swing,3929630,Saquon Barkley,RB,0,False
13,2,1,4,The New Guy,Josh Swing,16944,Devonta Freeman,RB,0,False
14,2,2,2,Rodger  That,jmodell10,3120348,JuJu Smith-Schuster,WR,0,False
15,2,3,12,Rule  #76,dcputman,13982,Julio Jones,WR,0,False
16,2,4,5,Remember the Fucking Titans,payton9218600,3139477,Patrick Mahomes,QB,0,False
17,2,5,9,Tonie's Tigers,crtaylor225,16737,Mike Evans,WR,0,False
18,2,6,11,Dez (Bryant) Nuts,Gtgilbert88,13934,Antonio Brown,,0,False
19,2,7,3,Jim Ward's Ole Dick Necks,Henry Munford,2976316,Michael Thomas,WR,0,False
20,2,8,1,Below Average Joes,cjhubauer,3116385,Joe Mixon,RB,0,False
21,2,9,8,SCLSU Mud Dogs,jbray5,15847,Travis Kelce,TE,0,False
22,2,10,13,Fuck Luck,tcspivey8,3116593,Dalvin Cook,RB,0,False
23,2,11,10,High Noon,jtmurphree,3916925,Kerryon Johnson,RB,0,False
24,2,12,6,"Dude, Where's  My Lamar",zwthomas89; zthoma7700709,3116406,Tyreek Hill,WR,0,False
25,3,1,6,"Dude, Where's  My Lamar",zwthomas89; zthoma7700709,3040151,George Kittle,TE,0,False
26,3,2,10,High Noon,jtmurphree,3115364,Leonard Fournette,RB,0,False
27,3,3,13,Fuck Luck,tcspivey8,2976499,Amari Cooper,WR,0,False
28,3,4,8,SCLSU Mud Dogs,jbray5,3042519,Aaron Jones,RB,0,False
29,3,5,1,Below Average Joes,cjhubauer,17359,Damien Williams,,0,False
30,3,6,3,Jim Ward's Ole Dick Necks,Henry Munford,2976212,Stefon Diggs,WR,0,False
31,3,7,11,Dez (Bryant) Nuts,Gtgilbert88,4047365,Josh Jacobs,RB,0,False
32,3,8,9,Tonie's Tigers,crtaylor225,3919596,Chris Carson,RB,0,False
33,3,9,5,Remember the Fucking Titans,payton9218600,16460,Adam Thielen,WR,0,False
34,3,10,12,Rule  #76,dcputman,4035538,David Montgomery,RB,0,False
35,3,11,2,Rodger  That,jmodell10,8439,Aaron Rodgers,QB,0,False
36,3,12,4,The New Guy,Josh Swing,15818,Keenan Allen,WR,0,False
37,4,1,4,The New Guy,Josh Swing,2977187,Cooper Kupp,WR,0,False
38,4,2,2,Rodger  That,jmodell10,13981,Mark Ingram II,RB,0,False
39,4,3,12,Rule  #76,dcputman,3139605,Marlon Mack,RB,0,False
40,4,4,5,Remember the Fucking Titans,payton9218600,3052117,Phillip Lindsay,RB,0,False
41,4,5,9,Tonie's Tigers,crtaylor225,14924,T.Y. Hilton,WR,0,False
42,4,6,11,Dez (Bryant) Nuts,Gtgilbert88,12649,Julian Edelman,WR,0,False
43,4,7,3,Jim Ward's Ole Dick Necks,Henry Munford,3043078,Derrick Henry,RB,0,False
