week,is_regular,team_id,team_name,points,opp_team_id,opp_team_name,is_bye,outcome
1,True,1,Too Much Bama In Me ,120.28,9,Men of Will,False,L
1,True,2,Pour One Out For Mahomies!!,125.58,3,Jim Ward's Ole Dick Necks,False,L
1,True,3,Jim Ward's Ole Dick Necks,146.96,2,Pour One Out For Mahomies!!,False,W
1,True,4,Injured Reserve ,86.76,12,Rule  #76,False,L
1,True,5,Jones in for a Repeat,118.42,13,Christopher's Kryptonite ,False,W
1,True,6,Thom-ASS,131.94,10,LaPorta Potty,False,W
1,True,8,SCLSU Mud Dogs,109.68,11,ConcreteJungleWet DreamTomato,False,W
1,True,9,Men of Will,123.52,1,Too Much Bama In Me ,False,W
1,True,10,LaPorta Potty,93.1,6,Thom-ASS,False,L
1,True,11,ConcreteJungleWet DreamTomato,91.02,8,SCLSU Mud Dogs,False,L
1,True,12,Rule  #76,90.98,4,Injured Reserve ,False,W
1,True,13,Christopher's Kryptonite ,103.24,5,Jones in for a Repeat,False,L
2,True,1,Too Much Bama In Me ,92.98,13,Christopher's Kryptonite ,False,L
2,True,2,Pour One Out For Mahomies!!,100.46,8,SCLSU Mud Dogs,False,L
2,True,3,Jim Ward's Ole Dick Necks,122.5,4,Injured Reserve ,False,W
2,True,4,Injured Reserve ,81.42,3,Jim Ward's Ole Dick Necks,False,L
2,True,5,Jones in for a Repeat,93.16,10,LaPorta Potty,False,L
2,True,6,Thom-ASS,151.06,9,Men of Will,False,W
2,True,8,SCLSU Mud Dogs,128.66,2,Pour One Out For Mahomies!!,False,W
2,True,9,Men of Will,114.08,6,Thom-ASS,False,L
2,True,10,LaPorta Potty,104.62,5,Jones in for a Repeat,False,W
2,True,11,ConcreteJungleWet DreamTomato,155.12,12,Rule  #76,False,W
2,True,12,Rule  #76,148.24,11,ConcreteJungleWet DreamTomato,False,L
2,True,13,Christopher's Kryptonite ,105.64,1,Too Much Bama In Me ,False,W
3,True,1,Too Much Bama In Me ,75.26,5,Jones in for a Repeat,False,L
3,True,2,Pour One Out For Mahomies!!,110.94,4,Injured Reserve ,False,W
3,True,3,Jim Ward's Ole Dick Necks,79.7,11,ConcreteJungleWet DreamTomato,False,L
3,True,4,Injured Reserve ,82.96,2,Pour One Out For Mahomies!!,False,L
3,True,5,Jones in for a Repeat,79.68,1,Too Much Bama In Me ,False,W
3,True,6,Thom-ASS,132.18,13,Christopher's Kryptonite ,False,W
3,True,8,SCLSU Mud Dogs,140.16,12,Rule  #76,False,W
3,True,9,Men of Will,139.38,10,LaPorta Potty,False,L
3,True,10,LaPorta Potty,163.76,9,Men of Will,False,W
3,True,11,ConcreteJungleWet DreamTomato,92.54,3,Jim Ward's Ole Dick Necks,False,W
3,True,12,Rule  #76,114.08,8,SCLSU Mud Dogs,False,L
3,True,13,Christopher's Kryptonite ,116.98,6,Thom-ASS,False,L
4,True,1,Too Much Bama In Me ,121.18,10,LaPorta Potty,False,W
