"Rank","Tier","Running Backs","Team","Bye","Num Experts","ECR","ADP"
"1","","Zach Charbonnet","SEA","11","4","46","42"
"2","","Alvin Kamara","NO","8","5","47","45"
"3","","Jonah Coleman","DEN","10","5","53","48"
"4","","Tank Bigsby","PHI","10","4","52","53"
"5","","Isiah Pacheco","DET","6","5","49","49"
"6","","Dylan Sampson","CLE","11","4","50","54"
"7","","Keaton Mitchell","LAC","7","5","48","52"
"8","","MarShawn Lloyd","GB","11","5","63","59"
"9","","Tyjae Spears","TEN","9","3","51","51"
"10","","Emmett Johnson","KC","5","4","62","58"
"11","","James Conner","ARI","14","2","59","56"
"12","","Sean Tucker","TB","10","2","57","64"
"13","","Brian Robinson Jr.","ATL","11","2","54","47"
"14","","Nicholas Singleton","TEN","9","2","60","57"
"15","","Braelon Allen","NYJ","13","1","56","60"
"16","","Emanuel Wilson","SEA","11","1","58","75"
"17","","Demond Claiborne","MIN","6","1","70","67"
"18","","Seth McGowan","IND","13","1","87","91"
"19","","Jaydon Blue","DAL","14","1","68","61"
"20","","Chris Brooks","GB","11","1","78","86"
"21","","LeQuint Allen Jr.","JAC","7","1","83","81"
"22","","Kaelon Black","SF","8","1","85","66"
"23","","George Holani","SEA","11","1","69","70"
"24","","Kaytron Allen","WAS","7","1","64","68"
"25","","Jaylen Wright","MIA","6","1","67","69"
""
""
