"Rank","Tier","Tight Ends","Team","Bye","Num Experts","ECR","ADP"
"1","","Chig Okonkwo","WAS","7","7","18","18"
"2","","Greg Dulcich","MIA","6","5","34","28"
"3","","Juwan Johnson","NO","8","4","16","20"
"4","","Brenton Strange","JAC","7","4","17","19"
"5","","Dalton Schultz","HOU","8","1","21","25"
"6","","Terrance Ferguson","LAR","11","2","25","27"
"7","","Oronde Gadsden II","LAC","7","2","20","16"
"8","","Gunnar Helm","TEN","9","2","24","29"
"9","","Hunter Henry","NE","11","1","19","17"
"10","","Pat Freiermuth","PIT","9","1","27","26"
"11","","Eli Stowers","PHI","10","1","35","31"
"12","","Mason Taylor","NYJ","13","1","32","37"
"13","","AJ Barner","SEA","11","1","22","24"
""
""
