"Rank","Tier","Wide Receivers","Team","Bye","Num Experts","ECR","ADP"
"1","","Rashid Shaheed","SEA","11","6","57","51"
"2","","Stefon Diggs","WAS","7","6","50","48"
"3","","Denzel Boston","CLE","11","6","58","62"
"4","","Deebo Samuel Sr.","SF","8","4","56","50"
"5","","Jalen McMillan","TB","10","5","63","63"
"6","","De'Zhaun Stribling","SF","8","4","67","59"
"7","","Ryan Flournoy","DAL","14","3","68","81"
"8","","Omar Cooper Jr.","NYJ","13","3","61","64"
"9","","Jalen Nailor","LV","13","4","77","61"
"10","","Travis Hunter","JAC","7","3","64","60"
"11","","Antonio Williams","WAS","7","3","81","76"
"12","","Tank Dell","HOU","8","2","80","69"
"13","","Tre' Harris","LAC","7","2","65","74"
"14","","Jaylin Noel","HOU","8","2","70","101"
"15","","Dontayvion Wicks","PHI","10","3","73","80"
"16","","Jauan Jennings","MIN","6","1","59","58"
"17","","Isaac TeSlaa","DET","6","1","74","65"
"18","","Adonai Mitchell","NYJ","13","1","62","77"
"19","","Malik Washington","MIA","6","1","78","75"
"20","","Elijah Sarratt","BAL","13","1","88","103"
"21","","Pat Bryant","DEN","10","2","72","84"
"22","","Cyrus Allen","KC","5","2","109","79"
"23","","Jerry Jeudy","CLE","11","1","60","67"
"24","","Rashod Bateman","BAL","13","1","79","94"
"25","","Jack Bech","LV","13","1","90",""
""
""
