"Player","Team","Pass Completions"
"Joe Burrow ","CIN","394"
"Dak Prescott ","DAL","385"
"Jared Goff ","DET","373"
"Brock Purdy ","SF","366"
"Tyler Shough ","NO","365"
"Bo Nix ","DEN","355"
"Matthew Stafford ","LAR","353"
"Patrick Mahomes II ","KC","353"
"Justin Herbert ","LAC","350"
"Baker Mayfield ","TB","349"
"Jacoby Brissett ","ARI","347"
"C.J. Stroud ","HOU","347"
"Drake Maye ","NE","346"
"Cam Ward ","TEN","345"
"Geno Smith ","NYJ","340"
"Aaron Rodgers ","PIT","339"
"Sam Darnold ","SEA","337"
"Daniel Jones ","IND","337"
"Trevor Lawrence ","JAC","335"
"Josh Allen ","BUF","333"
"Jordan Love ","GB","331"
"Kyler Murray ","MIN","330"
"Caleb Williams ","CHI","326"
"Bryce Young ","CAR","325"
"Jaxson Dart ","NYG","325"
"Jayden Daniels ","WAS","323"
"Malik Willis ","MIA","318"
"Jalen Hurts ","PHI","317"
"Lamar Jackson ","BAL","292"
"Fernando Mendoza ","LV","275"
"Tua Tagovailoa ","ATL","249"
"Deshaun Watson ","CLE","189"
"Shedeur Sanders ","CLE","144"
"Michael Penix Jr. ","ATL","119"
"Kirk Cousins ","LV","74"
"Carson Beck ","ARI","31"
"J.J. McCarthy ","MIN","30"
"Ty Simpson ","LAR","26"
"A. Richardson Sr. ","IND","23"
"Marcus Mariota ","WAS","22"
"Riley Leonard ","IND","19"
"Davis Mills ","HOU","17"
"Joe Flacco ","CIN","16"
"Quinn Ewers ","MIA","16"
"Jameis Winston ","NYG","16"
"Justin Fields ","KC","16"
"Spencer Rattler ","NO","15"
"Mac Jones ","SF","15"
"Tommy DeVito ","NE","15"
"Tyrod Taylor ","GB","15"
"Tyson Bagent ","CHI","15"
"Joe Milton III ","DAL","15"
"Mitchell Trubisky ","TEN","14"
"Gardner Minshew II ","ARI","14"
"Chris Oladokun ","KC","14"
"Mason Rudolph ","PIT","14"
"Trey Lance ","LAC","14"
"Teddy Bridgewater ","DET","14"
"Jarrett Stidham ","DEN","14"
"Jake Browning ","TB","14"
""
""
