"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Jahmyr Gibbs","DET","RB1","274.4","1,380.5","13.8","70.9","580.2","4.1","1.1","301.5"
"Bijan Robinson","ATL","RB2","289.5","1,426.4","9.5","79.6","737.1","3.5","1.8","290.3"
"Jonathan Taylor","IND","RB3","327.4","1,509.8","12.9","43.8","326.7","1.4","1.7","265.9"
"Christian McCaffrey","SF","RB4","270.9","1,099.4","9.2","75.9","669.4","4.7","1.1","257.8"
"Derrick Henry","BAL","RB5","314.0","1,568.1","13.4","17.8","172.1","0.7","1.7","255.1"
"James Cook III","BUF","RB6","287.3","1,403.5","10.3","33.3","281.7","1.9","2.4","236.9"
"De'Von Achane","MIA","RB7","237.9","1,197.5","6.0","65.3","490.6","4.0","1.0","226.7"
"Saquon Barkley","PHI","RB8","295.8","1,310.8","8.2","41.7","330.3","2.1","1.0","224.1"
"Puka Nacua","LAR","WR1","13.6","85.0","1.4","117.0","1,539.0","9.0","1.0","222.8"
"Josh Jacobs","GB","RB9","288.7","1,160.8","12.0","35.7","283.7","1.2","1.3","221.1"
"Ashton Jeanty","LV","RB10","281.4","1,107.1","8.0","58.6","414.4","3.3","1.1","218.2"
"Ja'Marr Chase","CIN","WR2","3.0","17.0","0.0","121.2","1,510.2","10.6","1.0","214.4"
"Chase Brown","CIN","RB11","239.4","1,040.0","7.5","64.4","430.1","3.9","1.1","213.2"
"Jaxon Smith-Njigba","SEA","WR3","5.5","30.4","0.1","110.9","1,568.2","9.2","1.1","213.1"
"Omarion Hampton","LAC","RB12","249.1","1,072.9","10.0","51.6","352.6","2.0","1.1","211.9"
"Kyren Williams","LAR","RB13","240.2","1,118.1","10.1","33.5","239.6","2.2","1.5","206.3"
"Breece Hall","NYJ","RB14","259.3","1,159.7","6.5","47.4","411.3","2.2","1.7","206.2"
"Kenneth Walker III","KC","RB15","255.7","1,158.1","8.3","45.1","347.2","1.2","0.9","206.1"
"Amon-Ra St. Brown","DET","WR4","3.1","11.8","0.0","117.0","1,390.3","10.5","0.4","202.4"
"Javonte Williams","DAL","RB16","257.5","1,167.4","10.4","33.0","192.2","1.2","1.6","202.0"
"Jeremiyah Love","ARI","RB17","238.3","1,078.7","7.2","54.4","419.5","2.1","2.2","201.3"
"Cam Skattebo","NYG","RB18","243.4","1,015.7","8.1","45.8","364.0","2.5","1.6","198.5"
"Travis Etienne Jr.","NO","RB19","251.9","1,063.5","5.3","45.2","353.7","3.0","1.0","189.9"
"D'Andre Swift","CHI","RB20","233.1","1,052.8","8.0","34.8","299.8","1.0","1.0","187.8"
"Drake London","ATL","WR5","0.0","0.0","0.0","101.7","1,329.6","9.4","1.0","187.6"
"Bucky Irving","TB","RB21","259.3","1,031.9","6.2","40.7","342.0","2.3","1.0","186.2"
"Quinshon Judkins","CLE","RB22","289.4","1,104.3","8.1","31.3","218.3","0.6","0.9","182.4"
