"Player","Team","FG","FGA","XPT","FPTS"
"Chase McLaughlin","TB","2.1","2.0","2.9","9.1"
"Matt Gay","LV","1.8","2.2","3.0","8.5"
"Chris Boswell","PIT","2.1","2.0","2.1","8.3"
"Will Reichard","MIN","2.0","2.1","2.2","8.2"
"Harrison Butker","KC","2.0","2.0","2.3","8.2"
"Cam Little","JAC","1.9","2.1","2.5","8.1"
"Jake Elliott","PHI","1.6","2.1","3.1","7.9"
"Wil Lutz","DEN","1.7","2.2","2.8","7.8"
"Chad Ryland","ARI","1.8","2.1","2.4","7.7"
"Cameron Dicker","LAC","1.9","2.2","2.1","7.7"
"Jake Bates","DET","1.7","1.8","2.6","7.7"
"Jason Myers","SEA","1.8","2.1","2.2","7.6"
"Brandon Aubrey","DAL","1.9","2.1","2.0","7.6"
"Riley Patterson","MIA","1.7","2.2","2.3","7.5"
"Evan McPherson","CIN","1.5","2.0","2.8","7.4"
"Daniel Carlson","LV","1.7","2.0","2.0","7.2"
"Tyler Loop","BAL","1.4","1.8","2.9","7.1"
"Blake Grupe","IND","1.7","2.0","2.0","7.1"
"Spencer Shrader","IND","1.6","2.0","2.3","7.1"
"Cairo Santos","CHI","1.6","1.9","2.2","6.9"
"Ka'imi Fairbairn","HOU","1.6","2.0","2.2","6.9"
"Ryan Fitzgerald","CAR","1.6","1.8","2.0","6.8"
"Nick Folk","ATL","1.6","1.8","1.8","6.7"
"Andre Szmyt","CLE","1.6","1.8","1.9","6.7"
"Andy Borregales","NE","1.4","1.9","2.3","6.6"
"Jake Moody","WAS","1.3","1.9","2.5","6.5"
"Joey Slye","TEN","1.4","1.9","1.8","6.0"
"Cade York","NYJ","0.0","0.0","0.0","0.0"
"Lucas Havrisik","GB","0.0","0.0","0.0","0.0"
"Tanner Brown","NO","0.0","0.0","0.0","0.0"
"Harrison Mevis","LAR","0.0","0.0","0.0","0.0"
"Eddy Pineiro","SF","0.0","0.0","0.0","0.0"
"Jason Sanders","NYJ","0.0","0.0","0.0","0.0"
"Zane Gonzalez","MIA","0.0","0.0","0.0","0.0"
""
""
