"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Saquon Barkley","PHI","20.4","105.7","0.8","2.4","18.5","0.1","0.1","17.8"
"Bijan Robinson","ATL","18.4","83.2","0.7","3.5","26.3","0.1","0.1","15.7"
"Derrick Henry","BAL","17.6","91.3","0.8","1.3","10.2","0.1","0.1","15.1"
"Jonathan Taylor","IND","19.0","89.4","0.8","1.8","12.4","0.1","0.1","15.0"
"Jahmyr Gibbs","DET","14.4","73.6","0.6","3.3","27.9","0.1","0.1","14.7"
"Christian McCaffrey","SF","14.7","69.4","0.5","3.9","33.7","0.2","0.1","14.3"
"De'Von Achane","MIA","13.6","64.9","0.5","4.2","31.3","0.2","0.1","13.7"
"Kyren Williams","LAR","18.5","77.4","0.7","2.0","12.7","0.1","0.1","13.7"
"Bucky Irving","TB","15.5","77.0","0.5","2.9","21.5","0.1","0.1","13.6"
"Josh Jacobs","GB","17.3","72.2","0.7","2.4","19.8","0.1","0.1","13.6"
"Ashton Jeanty","LV","16.0","72.1","0.5","2.6","22.2","0.1","0.1","13.1"
"Chase Brown","CIN","15.8","69.7","0.5","3.3","23.9","0.1","0.1","13.0"
"Chuba Hubbard","CAR","16.7","73.0","0.6","2.4","14.3","0.1","0.1","12.4"
"James Conner","ARI","14.5","68.0","0.5","2.4","19.7","0.1","0.1","12.2"
"Alvin Kamara","NO","13.8","58.6","0.3","4.1","30.6","0.1","0.1","11.7"
"Kenneth Walker III","KC","15.0","60.2","0.5","2.7","18.6","0.1","0.1","11.6"
"James Cook III","BUF","13.8","60.5","0.5","2.2","17.3","0.1","0.1","11.4"
"Omarion Hampton","LAC","14.1","61.1","0.5","2.1","17.4","0.1","0.1","11.1"
"TreVeyon Henderson","NE","13.8","63.4","0.4","2.2","18.9","0.1","0.1","11.1"
"Tony Pollard","TEN","16.7","67.2","0.4","2.8","18.0","0.1","0.1","10.9"
"Aaron Jones Sr.","MIN","12.7","58.2","0.3","2.8","20.8","0.1","0.1","10.4"
"Tyrone Tracy Jr.","NYG","13.2","59.8","0.3","2.1","17.0","0.1","0.1","10.2"
"Jerome Ford","WAS","12.3","55.9","0.3","2.7","20.0","0.1","0.1","10.1"
"Breece Hall","NYJ","13.4","55.3","0.3","2.8","22.9","0.1","0.1","10.1"
"Jaylen Warren","PIT","12.7","56.5","0.3","3.3","22.9","0.1","0.1","9.9"
"D'Andre Swift","CHI","14.0","56.3","0.4","2.3","16.4","0.1","0.1","9.8"
"Isiah Pacheco","DET","13.5","58.2","0.3","2.2","15.5","0.1","0.1","9.7"
"David Montgomery","HOU","11.6","48.1","0.5","1.7","14.0","0.0","0.1","9.1"
"RJ Harvey","DEN","11.1","49.1","0.4","2.1","16.2","0.1","0.1","9.0"
"Jacory Croskey-Merritt","WAS","11.9","52.5","0.4","1.3","11.3","0.1","0.1","8.9"
"Travis Etienne Jr.","NO","11.4","48.1","0.3","2.3","19.1","0.1","0.0","8.8"
"J.K. Dobbins","DEN","10.6","48.5","0.4","1.9","12.4","0.1","0.1","8.5"
"Javonte Williams","DAL","12.2","47.7","0.3","2.4","13.8","0.1","0.1","8.1"
"Tank Bigsby","PHI","10.3","47.0","0.4","0.7","5.7","0.0","0.1","7.6"
"Zach Charbonnet","SEA","8.3","36.7","0.3","2.2","15.9","0.1","0.0","7.5"
"Rhamondre Stevenson","NE","10.3","41.6","0.3","1.5","9.9","0.1","0.1","7.4"
"Dylan Sampson","CLE","8.7","41.0","0.3","1.5","12.5","0.1","0.1","7.3"
"Jordan Mason","MIN","9.5","46.1","0.3","1.0","7.4","0.0","0.1","7.0"
"Ollie Gordon II","MIA","8.5","36.1","0.2","1.3","9.4","0.1","0.1","6.3"
"Rachaad White","WAS","6.9","25.9","0.2","2.4","16.8","0.1","0.1","6.0"
"Trey Benson","ARI","8.1","37.0","0.2","1.0","7.5","0.0","0.0","5.7"
"Kaleb Johnson","PIT","7.7","33.5","0.2","0.8","7.2","0.0","0.1","5.6"
"Braelon Allen","NYJ","7.6","29.4","0.1","1.0","8.0","0.0","0.0","4.8"
"Justice Hill","BAL","4.6","18.7","0.1","2.1","15.8","0.1","0.0","4.7"
