"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Brock Bowers","LV","96.5","1,025.3","7.5","0.2","147.3"
"Trey McBride","ARI","110.3","1,065.4","6.9","0.2","147.2"
"Colston Loveland","CHI","78.1","915.8","6.7","0.2","131.2"
"Tyler Warren","IND","82.9","870.5","5.4","0.3","118.8"
"Kyle Pitts Sr.","ATL","79.5","882.1","4.7","0.1","116.3"
"Dallas Goedert","PHI","65.5","689.1","7.5","0.2","113.8"
"Sam LaPorta","DET","69.8","809.2","5.5","0.2","113.2"
"Tucker Kraft","GB","58.7","755.6","6.3","0.2","113.1"
"Harold Fannin Jr.","CLE","78.3","815.4","5.4","0.8","112.3"
"Travis Kelce","KC","74.9","784.4","5.2","0.3","108.8"
"George Kittle","SF","66.3","756.3","5.6","0.2","108.8"
"Mark Andrews","BAL","58.3","607.6","7.7","0.3","106.5"
"Dalton Kincaid","BUF","56.8","701.6","5.5","0.2","102.6"
"Isaiah Likely","NYG","62.9","746.2","5.1","1.3","102.5"
"Hunter Henry","NE","56.3","651.7","5.4","0.1","97.4"
"Jake Ferguson","DAL","74.1","607.3","5.9","1.4","93.6"
"Brenton Strange","JAC","60.0","658.0","4.3","0.2","91.4"
"Juwan Johnson","NO","64.5","726.2","3.2","1.3","89.5"
"Dalton Schultz","HOU","65.8","630.1","3.4","0.2","82.9"
"Pat Freiermuth","PIT","53.0","557.9","4.3","0.2","80.9"
"Kenyon Sadiq","NYJ","51.1","558.0","4.1","0.7","79.0"
"Greg Dulcich","MIA","54.6","619.7","3.2","1.2","78.9"
"T.J. Hockenson","MIN","63.9","574.0","3.3","0.2","76.7"
"Oronde Gadsden II","LAC","45.5","563.9","3.6","0.7","76.6"
"Terrance Ferguson","LAR","36.3","500.3","4.5","0.2","76.5"
"AJ Barner","SEA","48.6","469.5","4.9","0.2","75.7"
"Cade Otton","TB","54.8","556.7","3.1","0.1","74.0"
"Chig Okonkwo","WAS","53.9","567.2","2.7","0.1","72.9"
"Mike Gesicki","CIN","44.0","461.1","3.9","0.1","69.1"
"Evan Engram","DEN","53.4","471.8","2.7","0.1","63.2"
"Gunnar Helm","TEN","48.9","443.1","3.1","0.2","62.5"
"David Njoku","LAC","35.9","336.9","4.0","0.1","57.7"
"Colby Parkinson","LAR","34.3","354.3","3.9","0.6","57.6"
"Mason Taylor","NYJ","44.5","390.8","2.4","0.1","53.2"
"Dawson Knox","BUF","28.7","328.7","2.9","0.1","50.3"
"Michael Mayer","LV","40.0","377.5","2.1","0.1","50.1"
"Theo Johnson","NYG","27.7","315.4","2.9","0.1","48.7"
"Tyler Higbee","LAR","26.1","306.4","2.4","0.0","45.1"
"Darnell Washington","PIT","30.7","327.7","2.0","0.6","43.2"
"Cole Kmet","CHI","25.9","271.4","2.2","0.1","40.3"
"Ja'Tavion Sanders","CAR","29.3","263.8","2.0","0.1","38.3"
"Tommy Tremble","CAR","26.5","253.1","2.0","0.1","36.9"
"Noah Fant","NO","30.4","285.0","1.7","1.6","35.3"
"Will Kacmarek","MIA","26.6","250.8","1.9","0.6","35.2"
"Elijah Arroyo","SEA","23.6","240.1","1.9","0.2","34.8"
"Josh Oliver","MIN","18.6","193.9","2.4","0.1","33.5"
"Austin Hooper","ATL","22.5","236.8","1.6","0.1","33.2"
"Daniel Bellinger","TEN","19.3","222.3","1.7","0.0","32.6"
"Erick All Jr.","CIN","26.1","228.3","1.6","0.1","32.4"
"Charlie Kolar","LAC","17.8","205.2","1.9","0.0","31.6"
"Brock Wright","DET","19.4","175.1","2.3","0.0","31.3"
"Eli Stowers","PHI","22.7","232.4","1.5","0.6","31.2"
"Noah Gray","KC","21.0","211.3","1.5","0.1","29.8"
"Luke Musgrave","GB","23.0","223.1","1.2","0.1","29.6"
"Adam Trautman","DEN","19.4","194.0","1.5","0.0","28.2"
"Eli Raridon","NE","18.8","195.8","1.5","0.6","27.7"
"Davis Allen","LAR","16.9","157.3","1.9","0.0","26.9"
"John Bates","WAS","18.4","173.7","1.6","0.6","25.5"
"Ben Sims","MIA","19.5","184.7","1.2","0.0","25.4"
"Marlin Klein","HOU","19.5","193.7","1.1","0.5","25.0"
"Jake Tonges","SF","16.8","167.8","1.4","0.0","24.9"
"Elijah Higgins","ARI","21.9","196.2","0.8","0.6","23.5"
"Mitchell Evans","CAR","15.0","138.1","1.5","0.1","22.5"
"Nick Vannett","SEA","11.0","103.0","2.0","0.0","22.3"
"Connor Heyward","LV","14.0","103.0","2.0","0.0","22.3"
"Nate Boerkircher","JAC","14.9","155.3","1.3","0.5","22.2"
"Jeremy Ruckert","NYJ","19.7","145.8","1.3","0.0","22.1"
"Jackson Hawes","BUF","10.6","115.1","1.4","0.0","20.1"
"Ben Sinnott","WAS","11.8","116.3","1.4","0.0","19.9"
"Nate Adkins","DEN","11.9","88.3","1.8","0.0","19.8"
"Drew Sample","CIN","15.1","123.1","1.1","0.1","18.6"
"Will Mallory","IND","11.0","125.0","1.0","0.0","18.5"
"Jack Endries","CIN","13.0","123.0","1.0","0.0","18.3"
"Foster Moreau","HOU","9.3","105.7","1.3","0.0","18.3"
