"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Brock Bowers","LV","6.5","69.7","0.4","0.0","9.2"
"George Kittle","SF","4.9","63.9","0.4","0.0","8.8"
"Trey McBride","ARI","6.3","66.7","0.4","0.0","8.7"
"Travis Kelce","KC","5.4","52.6","0.3","0.0","7.3"
"Mark Andrews","BAL","4.1","46.6","0.4","0.1","7.1"
"David Njoku","LAC","4.9","49.0","0.4","0.0","7.0"
"Sam LaPorta","DET","4.1","44.9","0.3","0.0","6.5"
"T.J. Hockenson","MIN","4.7","50.2","0.2","0.0","6.4"
"Tyler Warren","IND","3.9","41.0","0.3","0.1","5.7"
"Dallas Goedert","PHI","3.6","42.1","0.2","0.0","5.6"
"Tucker Kraft","GB","3.3","39.0","0.3","0.0","5.6"
"Kyle Pitts Sr.","ATL","3.2","40.8","0.2","0.0","5.4"
"Evan Engram","DEN","4.4","37.9","0.3","0.1","5.3"
"Hunter Henry","NE","3.3","34.5","0.3","0.0","5.0"
"Jake Ferguson","DAL","4.2","37.7","0.2","0.1","4.8"
"Dalton Kincaid","BUF","3.5","36.3","0.2","0.0","4.8"
"Cade Otton","TB","3.5","33.9","0.2","0.1","4.7"
"Brenton Strange","JAC","3.1","33.4","0.2","0.0","4.6"
"Dalton Schultz","HOU","3.3","34.0","0.2","0.0","4.4"
"Mike Gesicki","CIN","2.9","30.5","0.2","0.0","4.4"
"Chig Okonkwo","WAS","3.5","34.3","0.2","0.0","4.4"
"Theo Johnson","NYG","2.8","30.8","0.2","0.0","4.1"
"Colston Loveland","CHI","3.0","31.2","0.2","0.1","4.1"
"Pat Freiermuth","PIT","3.0","28.4","0.2","0.1","4.0"
"Mason Taylor","NYJ","2.8","29.8","0.2","0.0","3.9"
"Juwan Johnson","NO","2.7","29.0","0.2","0.0","3.8"
"Ja'Tavion Sanders","CAR","2.8","29.0","0.2","0.0","3.8"
"Robbie Ouzts","SEA","2.9","27.1","0.2","0.1","3.7"
"Tyler Higbee","LAR","2.7","24.9","0.2","0.0","3.6"
"Tyler Conklin","DET","2.4","23.3","0.1","0.0","3.1"
"Noah Gray","KC","2.1","20.7","0.2","0.0","3.0"
"AJ Barner","SEA","2.1","19.6","0.1","0.0","2.8"
"Julian Hill","NE","2.1","20.2","0.1","0.0","2.7"
"Elijah Arroyo","SEA","2.0","19.4","0.1","0.0","2.6"
"Cole Kmet","CHI","1.7","17.5","0.1","0.0","2.5"
"Harold Fannin Jr.","CLE","1.8","18.2","0.1","0.0","2.5"
"Noah Fant","NO","1.7","17.6","0.1","0.0","2.4"
"Austin Hooper","ATL","1.8","17.8","0.1","0.0","2.4"
"Tanner Conner","NYG","1.5","14.8","0.1","0.0","2.1"
"Payne Durham","TB","1.3","12.8","0.1","0.0","1.9"
"Michael Mayer","LV","1.6","14.9","0.1","0.0","1.9"
"Charlie Kolar","LAC","1.1","13.4","0.1","0.0","1.9"
"Dawson Knox","BUF","1.1","12.7","0.1","0.0","1.9"
"Gunnar Helm","TEN","1.3","13.2","0.1","0.0","1.8"
"Tommy Tremble","CAR","1.2","11.9","0.1","0.0","1.8"
"Josh Oliver","MIN","1.1","11.9","0.1","0.0","1.8"
"Luke Musgrave","GB","1.2","11.4","0.1","0.0","1.6"
"Adam Trautman","DEN","0.8","9.7","0.1","0.0","1.5"
"Cade Stover","HOU","1.0","10.2","0.1","0.0","1.4"
"Grant Calcaterra","PHI","0.8","9.0","0.1","0.0","1.2"
"Jeremy Ruckert","NYJ","1.0","8.7","0.1","0.0","1.2"
"Johnny Mundt","PHI","0.8","7.6","0.1","0.0","1.2"
"Drew Ogletree","IND","0.5","6.8","0.1","0.0","1.1"
"Luke Schoonmaker","DAL","0.9","7.6","0.1","0.0","1.1"
"Brock Wright","DET","0.9","7.2","0.1","0.0","1.1"
"Terrance Ferguson","LAR","0.6","7.5","0.1","0.0","1.1"
"Daniel Bellinger","TEN","0.8","8.1","0.0","0.0","1.1"
"Blake Whiteheart","CLE","0.6","6.4","0.1","0.0","1.0"
"Elijah Higgins","ARI","0.6","6.2","0.1","0.0","1.0"
"Ben Sinnott","WAS","0.7","6.3","0.1","0.0","1.0"
"Eric Saubert","SEA","0.6","5.7","0.1","0.0","1.0"
"Connor Heyward","LV","0.8","6.1","0.1","0.0","0.9"
"Colby Parkinson","LAR","0.6","6.0","0.1","0.0","0.9"
"Darnell Washington","PIT","0.7","6.7","0.0","0.0","0.9"
"Moliki Matavao","NO","0.8","7.3","0.0","0.0","0.9"
"Drew Sample","CIN","0.6","5.2","0.1","0.0","0.8"
"Charlie Woerner","ATL","0.7","6.5","0.0","0.0","0.8"
"Lucas Krull","DEN","0.5","4.3","0.1","0.0","0.8"
"Hunter Long","JAC","0.6","5.8","0.0","0.0","0.8"
"Jackson Hawes","BUF","0.4","3.6","0.0","0.0","0.6"
"John Bates","WAS","0.5","4.3","0.0","0.0","0.6"
"Tip Reiman","ARI","0.5","5.0","0.0","0.0","0.6"
"Brevyn Spann-Ford","DAL","0.5","4.6","0.0","0.0","0.6"
"Chris Manhertz","NYG","0.3","2.7","0.0","0.0","0.5"
"Mitchell Evans","CAR","0.4","4.3","0.0","0.0","0.5"
"Stone Smartt","PHI","0.4","4.3","0.0","0.0","0.5"
"Luke Farrell","SF","0.4","3.8","0.0","0.0","0.4"
"Mo Alie-Cox","IND","0.3","3.0","0.0","0.0","0.4"
"Teagan Quitoriano","ARI","0.4","3.9","0.0","0.0","0.4"
"Durham Smythe","BAL","0.4","3.0","0.0","0.0","0.3"
"Kylen Granson","TEN","0.2","2.9","0.0","0.0","0.3"
"Ian Thomas","LV","0.3","2.6","0.0","0.0","0.3"
"Feleipe Franks","CAR","0.2","2.3","0.0","0.0","0.2"
"Jack Westover","NE","0.3","2.1","0.0","0.0","0.2"
"Tanner Hudson","CIN","0.2","1.8","0.0","0.0","0.2"
"Davis Allen","LAR","0.1","1.1","0.0","0.0","0.2"
"Ko Kieft","TB","0.1","0.2","0.0","0.0","0.0"
"Brady Russell","SEA","0.0","0.0","0.0","0.0","0.0"
"Nick Vannett","SEA","0.0","0.0","0.0","0.0","0.0"
"Robert Tonyan","PIT","0.0","0.0","0.0","0.0","0.0"
"Anthony Firkser","WAS","0.0","0.0","0.0","0.0","0.0"
"Albert Okwuegbunam Jr.","LV","0.0","0.0","0.0","0.0","0.0"
"Foster Moreau","HOU","0.0","0.0","0.0","0.0","0.0"
"Stephen Carlson","CHI","0.0","0.0","0.0","0.0","0.0"
"Lawrence Cager","WAS","0.0","0.0","0.0","0.0","0.0"
"Sean McKeon","IND","0.0","0.0","0.0","0.0","0.0"
"Brevin Jordan","HOU","0.0","0.0","0.0","0.0","0.0"
"Kenny Yeboah","ARI","0.0","0.0","0.0","0.0","0.0"
"Quintin Morris","JAC","0.0","0.0","0.0","0.0","0.0"
"Josh Whyle","GB","0.0","0.0","0.0","0.0","0.0"
"Luke Lachey","GB","0.0","0.0","0.0","0.0","0.0"
"Thomas Fidone II","NYG","0.0","0.0","0.0","0.0","0.0"
"Greg Dulcich","MIA","0.0","0.0","0.0","0.0","0.0"
"James Mitchell","CAR","0.0","0.0","0.0","0.0","0.0"
"Jack Stoll","CLE","0.0","0.0","0.0","0.0","0.0"
"Shane Zylstra","BUF","0.0","0.0","0.0","0.0","0.0"
"Cole Turner","MIA","0.0","0.0","0.0","0.0","0.0"
"Isaiah Likely","NYG","0.0","0.0","0.0","0.0","0.0"
"Will Mallory","IND","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","0.0","0.0","0.0","0.0","0.0"
"Erick All Jr.","CIN","0.0","0.0","0.0","0.0","0.0"
"Justin Shorter","LV","0.0","0.0","0.0","0.0","0.0"
"Nikola Kalinic","CHI","0.0","0.0","0.0","0.0","0.0"
"Cameron Latu","PHI","0.0","0.0","0.0","0.0","0.0"
"Jaheim Bell","PIT","0.0","0.0","0.0","0.0","0.0"
"Jake Tonges","SF","0.0","0.0","0.0","0.0","0.0"
"Ben Sims","MIA","0.0","0.0","0.0","0.0","0.0"
"Brayden Willis","SF","0.0","0.0","0.0","0.0","0.0"
"E.J. Jenkins","PHI","0.0","0.0","0.0","0.0","0.0"
"Nate Adkins","DEN","0.0","0.0","0.0","0.0","0.0"
"Princeton Fant","DAL","0.0","0.0","0.0","0.0","0.0"
"Oronde Gadsden II","LAC","0.0","0.0","0.0","0.0","0.0"
"Gavin Bartholomew","MIN","0.0","0.0","0.0","0.0","0.0"
"Jared Wiley","KC","0.0","0.0","0.0","0.0","0.0"
"Tanner McLachlan","SF","0.0","0.0","0.0","0.0","0.0"
"Cam Grandy","CIN","0.0","0.0","0.0","0.0","0.0"
"Brenden Bates","CLE","0.0","0.0","0.0","0.0","0.0"
"Devin Culp","TB","0.0","0.0","0.0","0.0","0.0"
"Colson Yankoff","WAS","0.0","0.0","0.0","0.0","0.0"
"David Martin-Robinson","TEN","0.0","0.0","0.0","0.0","0.0"
"Caleb Lohner","DEN","0.0","0.0","0.0","0.0","0.0"
""
""
