"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Ja'Marr Chase","CIN","7.1","96.3","0.8","0.1","0.7","0.0","0.0","14.2"
"Justin Jefferson","MIN","6.5","96.5","0.6","0.0","0.0","0.0","0.0","13.0"
"Nico Collins","HOU","6.0","87.6","0.5","0.0","0.1","0.0","0.0","11.8"
"CeeDee Lamb","DAL","6.7","85.3","0.5","0.4","2.6","0.0","0.1","11.6"
"Brian Thomas Jr.","JAC","5.5","79.7","0.6","0.1","1.2","0.0","0.0","11.6"
"Malik Nabers","NYG","6.6","83.6","0.5","0.1","0.7","0.0","0.0","11.5"
"Mike Evans","SF","5.6","73.7","0.7","0.0","0.0","0.0","0.0","11.3"
"Puka Nacua","LAR","6.1","81.7","0.4","0.5","2.5","0.0","0.0","11.0"
"A.J. Brown","NE","5.3","77.2","0.5","0.0","0.0","0.0","0.0","11.0"
"Amon-Ra St. Brown","DET","6.6","75.4","0.5","0.1","0.6","0.0","0.0","10.7"
"Drake London","ATL","5.9","76.6","0.5","0.0","0.1","0.0","0.0","10.4"
"Ladd McConkey","LAC","5.6","75.0","0.4","0.0","0.1","0.0","0.0","10.1"
"Tee Higgins","CIN","5.2","69.0","0.6","0.0","0.0","0.0","0.1","10.1"
"Xavier Worthy","KC","5.2","64.1","0.5","0.7","4.2","0.1","0.0","10.1"
"Terry McLaurin","WAS","5.0","66.9","0.5","0.1","0.3","0.0","0.0","10.0"
"Courtland Sutton","DEN","4.9","64.6","0.5","0.0","0.0","0.0","0.1","9.4"
"Davante Adams","LAR","5.0","65.9","0.5","0.0","0.0","0.0","0.0","9.4"
"DK Metcalf","PIT","4.5","68.6","0.4","0.0","0.0","0.0","0.1","9.4"
"Jaxon Smith-Njigba","SEA","5.6","67.5","0.4","0.2","1.1","0.0","0.0","9.2"
"Zay Flowers","BAL","5.1","66.4","0.4","0.3","2.3","0.0","0.0","9.2"
"Marvin Harrison Jr.","ARI","4.5","65.7","0.4","0.0","0.2","0.0","0.1","9.0"
"Jerry Jeudy","CLE","5.3","73.3","0.3","0.0","0.2","0.0","0.0","9.0"
"DeVonta Smith","PHI","4.8","61.7","0.5","0.0","0.1","0.0","0.0","8.8"
"Emeka Egbuka","TB","4.8","60.5","0.4","0.1","0.7","0.0","0.1","8.5"
"Jameson Williams","DET","3.7","58.4","0.3","0.9","4.5","0.0","0.0","8.4"
"DJ Moore","BUF","5.0","60.3","0.4","0.4","2.1","0.0","0.1","8.3"
"Tetairoa McMillan","CAR","4.7","63.3","0.3","0.0","0.4","0.0","0.1","8.3"
"George Pickens","DAL","4.2","61.6","0.4","0.1","0.3","0.0","0.1","8.2"
"Jaylen Waddle","DEN","4.9","63.6","0.3","0.2","0.9","0.0","0.0","8.2"
"Ricky Pearsall","SF","4.6","59.3","0.3","0.3","2.3","0.0","0.0","8.1"
"Garrett Wilson","NYJ","5.3","63.7","0.3","0.1","0.8","0.0","0.1","8.0"
