"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE","UPSIDE ","BUST ","SOS","ECR VS ADP","AVG. DIFF ","% OVER "
"1",1,"Jahmyr Gibbs",DET,"RB1","6","5 out of 5","1 out of 5","5 out of 5 stars","0","+1.9","50% (8/16)"
"2",1,"Bijan Robinson",ATL,"RB2","11","5 out of 5","1 out of 5","2 out of 5 stars","0","+2.1","56% (9/16)"
"3",1,"Ja'Marr Chase",CIN,"WR1","6","5 out of 5","1 out of 5","4 out of 5 stars","0","-0.3","40% (6/15)"
"4",1,"Puka Nacua",LAR,"WR2","11","5 out of 5","2 out of 5","1 out of 5 stars","+2","+2.6","60% (9/15)"
"5",2,"Jaxon Smith-Njigba",SEA,"WR3","11","5 out of 5","2 out of 5","3 out of 5 stars","+3","+2.4","62% (10/16)"
"6",2,"Amon-Ra St. Brown",DET,"WR4","6","5 out of 5","1 out of 5","4 out of 5 stars","+5","-0.1","37% (6/16)"
"7",2,"Jonathan Taylor",IND,"RB3","13","4 out of 5","3 out of 5","4 out of 5 stars","-2","+2.6","43% (7/16)"
"8",2,"CeeDee Lamb",DAL,"WR5","14","4 out of 5","2 out of 5","2 out of 5 stars","+7","-2.4","38% (5/13)"
"9",2,"Christian McCaffrey",SF,"RB4","8","4 out of 5","4 out of 5","2 out of 5 stars","-5","+2.8","75% (12/16)"
"10",2,"James Cook III",BUF,"RB5","7","4 out of 5","2 out of 5","2 out of 5 stars","-3","+2.2","62% (10/16)"
"11",2,"Justin Jefferson",MIN,"WR6","6","5 out of 5","2 out of 5","5 out of 5 stars","+5","-4.0","25% (4/16)"
"12",3,"Derrick Henry",BAL,"RB6","13","4 out of 5","2 out of 5","3 out of 5 stars","+1","+1.4","43% (7/16)"
"13",3,"Drake London",ATL,"WR7","11","5 out of 5","2 out of 5","3 out of 5 stars","+8","+0.9","45% (5/11)"
"14",3,"A.J. Brown",NE,"WR8","11","5 out of 5","2 out of 5","2 out of 5 stars","+14","-0.1","46% (7/15)"
"15",3,"Nico Collins",HOU,"WR9","8","4 out of 5","3 out of 5","3 out of 5 stars","+12","-0.5","46% (7/15)"
"16",3,"Saquon Barkley",PHI,"RB7","10","4 out of 5","3 out of 5","4 out of 5 stars","-2","-2.1","37% (6/16)"
"17",3,"Ashton Jeanty",LV,"RB8","13","5 out of 5","2 out of 5","2 out of 5 stars","-7","-0.6","43% (7/16)"
"18",3,"Brock Bowers",LV,"TE1","13","5 out of 5","2 out of 5","3 out of 5 stars","+7","-","-"
"19",3,"George Pickens",DAL,"WR10","14","4 out of 5","4 out of 5","2 out of 5 stars","+7","+2.4","43% (7/16)"
"20",4,"Chase Brown",CIN,"RB9","6","5 out of 5","2 out of 5","2 out of 5 stars","-3","+2.0","56% (9/16)"
"21",4,"Omarion Hampton",LAC,"RB10","7","5 out of 5","3 out of 5","3 out of 5 stars","-9","+0.7","55% (5/9)"
"22",4,"Josh Allen",BUF,"QB1","7","5 out of 5","2 out of 5","3 out of 5 stars","-4","+0.7","50% (8/16)"
"23",4,"Trey McBride",ARI,"TE2","14","4 out of 5","2 out of 5","2 out of 5 stars","-3","+2.2","56% (9/16)"
"24",4,"Kenneth Walker III",KC,"RB11","5","4 out of 5","3 out of 5","3 out of 5 stars","-5","-1.4","25% (4/16)"
"25",4,"De'Von Achane",MIA,"RB12","6","4 out of 5","4 out of 5","3 out of 5 stars","-16","+0.1","31% (5/16)"
"26",4,"Chris Olave",NO,"WR11","8","4 out of 5","4 out of 5","3 out of 5 stars","+3","+2.4","50% (8/16)"
"27",4,"Rashee Rice",KC,"WR12","5","4 out of 5","4 out of 5","2 out of 5 stars","+6","-","-"
"28",4,"Lamar Jackson",BAL,"QB2","13","4 out of 5","4 out of 5","3 out of 5 stars","+6","-4.4","41% (5/12)"
"29",4,"Malik Nabers",NYG,"WR13","8","4 out of 5","4 out of 5","4 out of 5 stars","+3","-","-"
"30",4,"Zay Flowers",BAL,"WR14","13","4 out of 5","2 out of 5","4 out of 5 stars","+13","-0.4","37% (6/16)"
"31",4,"Tee Higgins",CIN,"WR15","6","5 out of 5","2 out of 5","4 out of 5 stars","+11","+0.9","50% (7/14)"
"32",4,"Kyren Williams",LAR,"RB13","11","4 out of 5","2 out of 5","5 out of 5 stars","-10","+0.9","56% (9/16)"
"33",4,"DeVonta Smith",PHI,"WR16","10","4 out of 5","2 out of 5","4 out of 5 stars","+12","-1.0","37% (6/16)"
"34",4,"Josh Jacobs",GB,"RB14","11","4 out of 5","4 out of 5","4 out of 5 stars","-10","-1.7","40% (6/15)"
"35",5,"Emeka Egbuka",TB,"WR17","10","4 out of 5","3 out of 5","4 out of 5 stars","+11","-1.4","31% (5/16)"
"36",5,"Drake Maye",NE,"QB3","11","5 out of 5","2 out of 5","2 out of 5 stars","+18","+1.5","56% (9/16)"
"37",5,"Tetairoa McMillan",CAR,"WR18","5","3 out of 5","4 out of 5","2 out of 5 stars","+1","-0.3","37% (6/16)"
"38",5,"Javonte Williams",DAL,"RB15","14","4 out of 5","3 out of 5","4 out of 5 stars","-8","+0.9","56% (9/16)"
"39",5,"Colston Loveland",CHI,"TE3","10","5 out of 5","2 out of 5","2 out of 5 stars","+8","+1.9","53% (8/15)"
"40",5,"Breece Hall",NYJ,"RB16","13","4 out of 5","4 out of 5","3 out of 5 stars","-9","-1.2","43% (7/16)"
"41",5,"Jeremiyah Love",ARI,"RB17","14","5 out of 5","2 out of 5","2 out of 5 stars","-18","-","-"
"42",5,"Ladd McConkey",LAC,"WR19","7","4 out of 5","3 out of 5","2 out of 5 stars","+7","-2.1","43% (7/16)"
"43",5,"Joe Burrow",CIN,"QB4","6","4 out of 5","3 out of 5","3 out of 5 stars","+13","-0.9","57% (4/7)"
"44",5,"Davante Adams",LAR,"WR20","11","4 out of 5","4 out of 5","1 out of 5 stars","+11","+0.2","50% (7/14)"
"45",5,"Jaylen Waddle",DEN,"WR21","10","4 out of 5","3 out of 5","2 out of 5 stars","+5","-1.0","43% (7/16)"
"46",5,"Terry McLaurin",WAS,"WR22","7","4 out of 5","2 out of 5","2 out of 5 stars","+12","-0.6","33% (3/9)"
"47",5,"Jameson Williams",DET,"WR23","6","4 out of 5","3 out of 5","4 out of 5 stars","+10","+0.1","50% (8/16)"
"48",5,"Jayden Daniels",WAS,"QB5","7","4 out of 5","4 out of 5","2 out of 5 stars","+15","-","-"
"49",5,"Christian Watson",GB,"WR24","11","4 out of 5","4 out of 5","5 out of 5 stars","+18","+2.4","50% (5/10)"
"50",5,"Travis Etienne Jr.",NO,"RB18","8","4 out of 5","3 out of 5","3 out of 5 stars","-13","+2.2","62% (10/16)"
"51",5,"Garrett Wilson",NYJ,"WR25","13","4 out of 5","4 out of 5","4 out of 5 stars","-12","-","-"
"52",6,"Cam Skattebo",NYG,"RB19","8","4 out of 5","4 out of 5","4 out of 5 stars","-16","-","-"
"53",6,"Quinshon Judkins",CLE,"RB20","11","4 out of 5","4 out of 5","3 out of 5 stars","-13","-","-"
"54",6,"Bucky Irving",TB,"RB21","10","2 out of 5","4 out of 5","2 out of 5 stars","-19","-1.1","44% (4/9)"
"55",6,"D'Andre Swift",CHI,"RB22","10","3 out of 5","3 out of 5","2 out of 5 stars","-2","+2.1","60% (9/15)"
"56",6,"Jalen Hurts",PHI,"QB6","10","4 out of 5","3 out of 5","5 out of 5 stars","+14","-2.1","37% (6/16)"
"57",6,"Luther Burden III",CHI,"WR26","10","4 out of 5","4 out of 5","3 out of 5 stars","-16","+1.8","57% (8/14)"
"58",6,"David Montgomery",HOU,"RB23","8","4 out of 5","2 out of 5","4 out of 5 stars","-7","-0.1","43% (7/16)"
"59",6,"Rome Odunze",CHI,"WR27","10","4 out of 5","3 out of 5","3 out of 5 stars","+7","-1.6","46% (6/13)"
"60",6,"Mike Evans",SF,"WR28","8","4 out of 5","3 out of 5","2 out of 5 stars","+1","-2.7","28% (2/7)"
"61",6,"Tucker Kraft",GB,"TE4","11","4 out of 5","2 out of 5","2 out of 5 stars","+13","-","-"
"62",6,"DJ Moore",BUF,"WR29","7","4 out of 5","2 out of 5","4 out of 5 stars","-10","-0.5","31% (5/16)"
"63",6,"TreVeyon Henderson",NE,"RB24","11","4 out of 5","3 out of 5","2 out of 5 stars","-19","0.0","31% (5/16)"
"64",6,"Tyler Warren",IND,"TE5","13","4 out of 5","2 out of 5","3 out of 5 stars","-5","-0.4","50% (8/16)"
"65",6,"Bhayshul Tuten",JAC,"RB25","7","4 out of 5","3 out of 5","4 out of 5 stars","-17","-","-"
"66",6,"Caleb Williams",CHI,"QB7","10","5 out of 5","2 out of 5","3 out of 5 stars","+20","+1.2","62% (10/16)"
"67",6,"Jadarian Price",SEA,"RB26","11","4 out of 5","4 out of 5","4 out of 5 stars","+2","-","-"
"68",6,"Justin Herbert",LAC,"QB8","7","4 out of 5","2 out of 5","2 out of 5 stars","+22","0.0","37% (6/16)"
"69",7,"Marvin Harrison Jr.",ARI,"WR30","14","4 out of 5","4 out of 5","2 out of 5 stars","+16","-1.7","50% (6/12)"
"70",7,"Carnell Tate",TEN,"WR31","9","4 out of 5","2 out of 5","3 out of 5 stars","+1","-","-"
"71",7,"Brian Thomas Jr.",JAC,"WR32","7","3 out of 5","4 out of 5","4 out of 5 stars","+5","-2.4","30% (4/13)"
"72",7,"Parker Washington",JAC,"WR33","7","4 out of 5","3 out of 5","4 out of 5 stars","+5","+3.8","80% (12/15)"
"73",7,"Tony Pollard",TEN,"RB27","9","3 out of 5","2 out of 5","3 out of 5 stars","-1","0.0","25% (4/16)"
"74",7,"Jaylen Warren",PIT,"RB28","9","4 out of 5","4 out of 5","2 out of 5 stars","-14","-0.1","46% (7/15)"
"75",7,"Sam LaPorta",DET,"TE6","6","4 out of 5","3 out of 5","3 out of 5 stars","+12","+0.7","44% (4/9)"
"76",7,"DK Metcalf",PIT,"WR34","9","4 out of 5","4 out of 5","3 out of 5 stars","+8","-","-"
"77",7,"Trevor Lawrence",JAC,"QB9","7","5 out of 5","2 out of 5","4 out of 5 stars","+11","+3.9","75% (12/16)"
"78",7,"Dak Prescott",DAL,"QB10","14","4 out of 5","2 out of 5","2 out of 5 stars","+15","+1.9","68% (11/16)"
"79",7,"Rhamondre Stevenson",NE,"RB29","11","4 out of 5","3 out of 5","2 out of 5 stars","-14","+0.4","53% (7/13)"
"80",7,"Alec Pierce",IND,"WR35","13","4 out of 5","4 out of 5","4 out of 5 stars","+16","+2.5","64% (9/14)"
"81",7,"Rico Dowdle",PIT,"RB30","9","4 out of 5","4 out of 5","2 out of 5 stars","-13","+1.1","31% (5/16)"
"82",7,"Chuba Hubbard",CAR,"RB31","5","2 out of 5","4 out of 5","1 out of 5 stars","-1","-1.1","28% (4/14)"
"83",7,"J.K. Dobbins",DEN,"RB32","10","4 out of 5","4 out of 5","2 out of 5 stars","-4","0.0","50% (5/10)"
"84",7,"Courtland Sutton",DEN,"WR36","10","2 out of 5","4 out of 5","2 out of 5 stars","-2","0.0","50% (8/16)"
"85",7,"Harold Fannin Jr.",CLE,"TE7","11","4 out of 5","3 out of 5","3 out of 5 stars","-21","+2.0","56% (9/16)"
"86",7,"Blake Corum",LAR,"RB33","11","4 out of 5","4 out of 5","5 out of 5 stars","-3","+2.1","56% (9/16)"
"87",7,"Kyle Pitts Sr.",ATL,"TE8","11","4 out of 5","4 out of 5","3 out of 5 stars","-9","+1.7","50% (8/16)"
"88",7,"Jordyn Tyson",NO,"WR37","8","4 out of 5","4 out of 5","3 out of 5 stars","-8","-","-"
"89",7,"Quentin Johnston",LAC,"WR38","7","4 out of 5","4 out of 5","2 out of 5 stars","+22","+0.9","57% (8/14)"
"90",7,"Jaxson Dart",NYG,"QB11","8","4 out of 5","4 out of 5","4 out of 5 stars","+1","+2.2","64% (9/14)"
"91",7,"Kyle Monangai",CHI,"RB34","10","4 out of 5","4 out of 5","2 out of 5 stars","-18","+1.2","43% (7/16)"
"92",7,"Brock Purdy",SF,"QB12","8","4 out of 5","2 out of 5","1 out of 5 stars","+22","+4.6","87% (7/8)"
"93",7,"Chris Godwin Jr.",TB,"WR39","10","4 out of 5","4 out of 5","4 out of 5 stars","-4","+0.2","37% (3/8)"
"94",8,"Jacory Croskey-Merritt",WAS,"RB35","7","3 out of 5","4 out of 5","4 out of 5 stars","+4","-0.2","37% (6/16)"
"95",8,"Jordan Addison",MIN,"WR40","6","4 out of 5","3 out of 5","5 out of 5 stars","+8","-0.4","30% (4/13)"
"96",8,"Patrick Mahomes II",KC,"QB13","5","3 out of 5","4 out of 5","2 out of 5 stars","+11","-","-"
"97",8,"George Kittle",SF,"TE9","8","4 out of 5","4 out of 5","3 out of 5 stars","+7","+1.6","50% (5/10)"
"98",8,"Bo Nix",DEN,"QB14","10","4 out of 5","2 out of 5","3 out of 5 stars","+21","+1.0","50% (8/16)"
"99",8,"Michael Wilson",ARI,"WR41","14","-","-","2 out of 5 stars","-24","+2.4","68% (11/16)"
"100",8,"Jonathon Brooks",CAR,"RB36","5","4 out of 5","4 out of 5","1 out of 5 stars","+25","-","-"
"101",8,"Makai Lemon",PHI,"WR42","10","4 out of 5","3 out of 5","4 out of 5 stars","+96","-","-"
"102",8,"RJ Harvey",DEN,"RB37","10","2 out of 5","4 out of 5","2 out of 5 stars","-40","+2.0","50% (8/16)"
"103",8,"Jordan Mason",MIN,"RB38","6","2 out of 5","4 out of 5","4 out of 5 stars","-6","-1.0","33% (5/15)"
"104",8,"Matthew Stafford",LAR,"QB15","11","4 out of 5","3 out of 5","3 out of 5 stars","+16","+3.3","62% (10/16)"
"105",8,"Dalton Kincaid",BUF,"TE10","7","3 out of 5","4 out of 5","3 out of 5 stars","-6","+1.6","54% (6/11)"
"106",8,"Jared Goff",DET,"QB16","6","4 out of 5","2 out of 5","5 out of 5 stars","+20","+0.8","43% (7/16)"
"107",8,"Jayden Reed",GB,"WR43","11","4 out of 5","4 out of 5","5 out of 5 stars","+15","-1.9","33% (2/6)"
"108",8,"Travis Kelce",KC,"TE11","5","2 out of 5","3 out of 5","4 out of 5 stars","-7","+0.2","50% (8/16)"
"109",8,"Michael Pittman Jr.",PIT,"WR44","9","3 out of 5","4 out of 5","3 out of 5 stars","-4","-0.7","56% (9/16)"
"110",8,"Rachaad White",WAS,"RB39","7","4 out of 5","2 out of 5","4 out of 5 stars","+8","-1.2","37% (6/16)"
"111",8,"Dallas Goedert",PHI,"TE12","10","4 out of 5","4 out of 5","4 out of 5 stars","+5","+1.9","53% (8/15)"
"112",8,"Isaiah Likely",NYG,"TE13","8","4 out of 5","4 out of 5","3 out of 5 stars","-10","-1.9","23% (3/13)"
"113",8,"Kyler Murray",MIN,"QB17","6","4 out of 5","3 out of 5","5 out of 5 stars","+41","-","-"
"114",8,"Mark Andrews",BAL,"TE14","13","4 out of 5","4 out of 5","4 out of 5 stars","-6","-1.1","25% (4/16)"
"115",8,"Jakobi Meyers",JAC,"WR45","7","2 out of 5","2 out of 5","4 out of 5 stars","-21","-1.4","33% (5/15)"
"116",8,"Kenny Gainwell",TB,"RB40","10","4 out of 5","3 out of 5","2 out of 5 stars","-21","+2.4","43% (7/16)"
"117",8,"Aaron Jones Sr.",MIN,"RB41","6","1 out of 5","4 out of 5","4 out of 5 stars","-17","-1.3","33% (4/12)"
"118",8,"Xavier Worthy",KC,"WR46","5","4 out of 5","4 out of 5","2 out of 5 stars","+12","-3.4","14% (2/14)"
"119",8,"Chris Rodriguez Jr.",JAC,"RB42","7","3 out of 5","4 out of 5","4 out of 5 stars","+30","+1.8","58% (7/12)"
