PlayerID,SeasonType,Season,Team,Number,Name,Position,PositionCategory,Activated,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnYardsPerAttempt,PuntReturnTouchdowns,PuntReturnLong,KickReturns,KickReturnYards,KickReturnYardsPerAttempt,KickReturnTouchdowns,KickReturnLong,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnYards,FumbleReturnTouchdowns,Interceptions,InterceptionReturnYards,InterceptionReturnTouchdowns,BlockedKicks,SpecialTeamsSoloTackles,SpecialTeamsAssistedTackles,MiscSoloTackles,MiscAssistedTackles,Punts,PuntYards,PuntAverage,FieldGoalsAttempted,FieldGoalsMade,FieldGoalsLongestMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,FantasyPointsPPR,ReceptionPercentage,ReceivingYardsPerTarget,Tackles,OffensiveTouchdowns,DefensiveTouchdowns,SpecialTeamsTouchdowns,Touchdowns,FantasyPosition,FieldGoalPercentage,PlayerSeasonID,FumblesOwnRecoveries,FumblesOutOfBounds,KickReturnFairCatches,PuntReturnFairCatches,PuntTouchbacks,PuntInside20,PuntNetAverage,ExtraPointsAttempted,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Safeties,FieldGoalsHadBlocked,PuntsHadBlocked,ExtraPointsHadBlocked,PuntLong,BlockedKickReturnYards,FieldGoalReturnYards,PuntNetYards,SpecialTeamsFumblesForced,SpecialTeamsFumblesRecovered,MiscFumblesForced,MiscFumblesRecovered,ShortName,SafetiesAllowed,Temperature,Humidity,WindSpeed,OffensiveSnapsPlayed,DefensiveSnapsPlayed,SpecialTeamsSnapsPlayed,OffensiveTeamSnaps,DefensiveTeamSnaps,SpecialTeamsTeamSnaps,AuctionValue,AuctionValuePPR,TwoPointConversionReturns,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,FantasyPointsYahoo,AverageDraftPosition,AverageDraftPositionPPR,TeamID,GlobalTeamID,FantasyPointsFantasyDraft,AverageDraftPositionRookie,AverageDraftPositionDynasty,AverageDraftPosition2QB,OffensiveFumbleRecoveryTouchdowns,ScoringDetails
549,1,2023,ARI,5,M.Prater,K,ST,17,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7,22.6,50.1,17.8,0.0,0.0,0.0,100.2,100.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,68.5,990983913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M.Prater,0.0,53,49,3,1,0,112,915,895,358,,,0.0,105.0,0.0,3.9,4.6,3.9,5.9,105.0,0.0,,,1,1,0.0,,,,,"[{'GameKey': '202310135', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 1, 'ScoringType': 'FieldGoalMade', 'Length': 23, 'ScoringDetailID': 490155, 'PlayerGameID': 990982497, 'ScoringPlayID': 173457}, {'GameKey': '202310135', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 1, 'ScoringType': 'FieldGoalMade', 'Length': 44, 'ScoringDetailID': 490159, 'PlayerGameID': 990982497, 'ScoringPlayID': 173460}, {'GameKey': '202310135', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 1, 'ScoringType': 'FieldGoalMade', 'Length': 30, 'ScoringDetailID': 490190, 'PlayerGameID': 990982497, 'ScoringPlayID': 173484}, {'GameKey': '202310201', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 2, 'ScoringType': 'FieldGoalMissed', 'Length': 44, 'ScoringDetailID': 490435, 'PlayerGameID': 991003926, 'ScoringPlayID': 173669}, {'GameKey': '202310201', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 2, 'ScoringType': 'FieldGoalMade', 'Length': 30, 'ScoringDetailID': 490451, 'PlayerGameID': 991003926, 'ScoringPlayID': 173682}, {'GameKey': '202310201', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 2, 'ScoringType': 'FieldGoalMade', 'Length': 36, 'ScoringDetailID': 490457, 'PlayerGameID': 991003926, 'ScoringPlayID': 173686}, {'GameKey': '202310301', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 3, 'ScoringType': 'FieldGoalMade', 'Length': 32, 'ScoringDetailID': 491496, 'PlayerGameID': 991009160, 'ScoringPlayID': 173837}, {'GameKey': '202310301', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 3, 'ScoringType': 'FieldGoalMade', 'Length': 35, 'ScoringDetailID': 491539, 'PlayerGameID': 991009160, 'ScoringPlayID': 173851}, {'GameKey': '202310301', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 3, 'ScoringType': 'FieldGoalMade', 'Length': 50, 'ScoringDetailID': 491543, 'PlayerGameID': 991009160, 'ScoringPlayID': 173854}, {'GameKey': '202310431', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 4, 'ScoringType': 'FieldGoalMade', 'Length': 31, 'ScoringDetailID': 492190, 'PlayerGameID': 991014052, 'ScoringPlayID': 174012}, {'GameKey': '202310632', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 6, 'ScoringType': 'FieldGoalMade', 'Length': 44, 'ScoringDetailID': 498674, 'PlayerGameID': 991021889, 'ScoringPlayID': 174254}, {'GameKey': '202310632', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 6, 'ScoringType': 'FieldGoalMade', 'Length': 26, 'ScoringDetailID': 498681, 'PlayerGameID': 991021889, 'ScoringPlayID': 174260}, {'GameKey': '202310632', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 6, 'ScoringType': 'FieldGoalMade', 'Length': 22, 'ScoringDetailID': 498690, 'PlayerGameID': 991021889, 'ScoringPlayID': 174267}, {'GameKey': '202310730', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 7, 'ScoringType': 'FieldGoalMade', 'Length': 36, 'ScoringDetailID': 498821, 'PlayerGameID': 991024932, 'ScoringPlayID': 174373}, {'GameKey': '202310730', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 7, 'ScoringType': 'FieldGoalMissed', 'Length': 27, 'ScoringDetailID': 498852, 'PlayerGameID': 991024932, 'ScoringPlayID': 174396}, {'GameKey': '202310801', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 8, 'ScoringType': 'FieldGoalMade', 'Length': 38, 'ScoringDetailID': 501689, 'PlayerGameID': 991029414, 'ScoringPlayID': 174544}, {'GameKey': '202311001', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 10, 'ScoringType': 'FieldGoalMade', 'Length': 41, 'ScoringDetailID': 502395, 'PlayerGameID': 991038104, 'ScoringPlayID': 174759}, {'GameKey': '202311001', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 10, 'ScoringType': 'FieldGoalMade', 'Length': 37, 'ScoringDetailID': 502402, 'PlayerGameID': 991038104, 'ScoringPlayID': 174764}, {'GameKey': '202311001', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 10, 'ScoringType': 'FieldGoalMade', 'Length': 45, 'ScoringDetailID': 502418, 'PlayerGameID': 991038104, 'ScoringPlayID': 174777}, {'GameKey': '202311001', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 10, 'ScoringType': 'FieldGoalMade', 'Length': 19, 'ScoringDetailID': 502446, 'PlayerGameID': 991038104, 'ScoringPlayID': 174795}, {'GameKey': '202311113', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 11, 'ScoringType': 'FieldGoalMade', 'Length': 46, 'ScoringDetailID': 502511, 'PlayerGameID': 991041050, 'ScoringPlayID': 174843}, {'GameKey': '202311201', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 12, 'ScoringType': 'FieldGoalMissed', 'Length': 45, 'ScoringDetailID': 502773, 'PlayerGameID': 991046560, 'ScoringPlayID': 175043}, {'GameKey': '202311328', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 13, 'ScoringType': 'FieldGoalMade', 'Length': 41, 'ScoringDetailID': 502864, 'PlayerGameID': 991049454, 'ScoringPlayID': 175100}, {'GameKey': '202311501', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 15, 'ScoringType': 'FieldGoalMade', 'Length': 47, 'ScoringDetailID': 505691, 'PlayerGameID': 991058620, 'ScoringPlayID': 175428}, {'GameKey': '202311501', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 15, 'ScoringType': 'FieldGoalMade', 'Length': 35, 'ScoringDetailID': 505693, 'PlayerGameID': 991058620, 'ScoringPlayID': 175430}, {'GameKey': '202311501', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 15, 'ScoringType': 'FieldGoalMade', 'Length': 23, 'ScoringDetailID': 505707, 'PlayerGameID': 991058620, 'ScoringPlayID': 175439}, {'GameKey': '202311606', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 16, 'ScoringType': 'FieldGoalMade', 'Length': 44, 'ScoringDetailID': 505880, 'PlayerGameID': 991062929, 'ScoringPlayID': 175567}, {'GameKey': '202311726', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 17, 'ScoringType': 'FieldGoalMade', 'Length': 23, 'ScoringDetailID': 511035, 'PlayerGameID': 991066107, 'ScoringPlayID': 175652}, {'GameKey': '202311726', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 17, 'ScoringType': 'FieldGoalMade', 'Length': 27, 'ScoringDetailID': 511063, 'PlayerGameID': 991066107, 'ScoringPlayID': 175674}, {'GameKey': '202311801', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 18, 'ScoringType': 'FieldGoalMade', 'Length': 19, 'ScoringDetailID': 511300, 'PlayerGameID': 991071456, 'ScoringPlayID': 175853}, {'GameKey': '202311801', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 18, 'ScoringType': 'FieldGoalMade', 'Length': 27, 'ScoringDetailID': 511313, 'PlayerGameID': 991071456, 'ScoringPlayID': 175865}, {'GameKey': '202311801', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 18, 'ScoringType': 'FieldGoalMissed', 'Length': 35, 'ScoringDetailID': 511349, 'PlayerGameID': 991071456, 'ScoringPlayID': 175891}, {'GameKey': '202311801', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 18, 'ScoringType': 'FieldGoalMissed', 'Length': 41, 'ScoringDetailID': 511355, 'PlayerGameID': 991071456, 'ScoringPlayID': 175896}]"
611,1,2023,CLE,15,J.Flacco,QB,OFF,5,5,5,164.8,99.4,1305.7,48.7,5.2,10.6,10.5,5.2,72.9,60.6,5.2,46.1,5.9,1.3,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,81.5,81.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,991051534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Flacco,0.0,37,28,6,280,0,0,332,343,149,,,0.0,87.9,0.0,0.0,0.0,0.0,0.0,98.4,87.9,,,8,8,98.4,,,,,"[{'GameKey': '202311332', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 13, 'ScoringType': 'PassingTouchdown', 'Length': 19, 'ScoringDetailID': 503289, 'PlayerGameID': 991050604, 'ScoringPlayID': 175148}, {'GameKey': '202311332', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 13, 'ScoringType': 'PassingTouchdown', 'Length': 5, 'ScoringDetailID': 503323, 'PlayerGameID': 991050604, 'ScoringPlayID': 175173}, {'GameKey': '202311408', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 14, 'ScoringType': 'PassingTouchdown', 'Length': 27, 'ScoringDetailID': 503386, 'PlayerGameID': 991053210, 'ScoringPlayID': 175207}, {'GameKey': '202311408', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 14, 'ScoringType': 'PassingTouchdown', 'Length': 24, 'ScoringDetailID': 503407, 'PlayerGameID': 991053210, 'ScoringPlayID': 175223}, {'GameKey': '202311408', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 14, 'ScoringType': 'PassingTouchdown', 'Length': 33, 'ScoringDetailID': 504096, 'PlayerGameID': 991053210, 'ScoringPlayID': 175263}, {'GameKey': '202311508', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 15, 'ScoringType': 'PassingTouchdown', 'Length': 1, 'ScoringDetailID': 505641, 'PlayerGameID': 991058405, 'ScoringPlayID': 175390}, {'GameKey': '202311508', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 15, 'ScoringType': 'PassingTouchdown', 'Length': 41, 'ScoringDetailID': 505681, 'PlayerGameID': 991058405, 'ScoringPlayID': 175420}, {'GameKey': '202311613', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 61, 'ScoringDetailID': 505798, 'PlayerGameID': 991061888, 'ScoringPlayID': 175509}, {'GameKey': '202311613', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 17, 'ScoringDetailID': 505807, 'PlayerGameID': 991061888, 'ScoringPlayID': 175517}, {'GameKey': '202311613', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 5, 'ScoringDetailID': 505826, 'PlayerGameID': 991061888, 'ScoringPlayID': 175530}, {'GameKey': '202311708', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 17, 'ScoringType': 'PassingTouchdown', 'Length': 5, 'ScoringDetailID': 510812, 'PlayerGameID': 991065627, 'ScoringPlayID': 175624}, {'GameKey': '202311708', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 17, 'ScoringType': 'PassingTouchdown', 'Length': 5, 'ScoringDetailID': 510821, 'PlayerGameID': 991065627, 'ScoringPlayID': 175628}, {'GameKey': '202311708', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 17, 'ScoringType': 'PassingTouchdown', 'Length': 40, 'ScoringDetailID': 510825, 'PlayerGameID': 991065627, 'ScoringPlayID': 175630}]"
1694,1,2023,NYG,21,M.Crosby,K,ST,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,3.3,42.0,3.9,0.0,0.0,0.0,18.6,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,57.7,991055062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M.Crosby,0.0,32,40,5,0,0,25,227,221,99,,,0.0,18.6,0.0,1.3,1.3,0.0,0.7,18.6,0.0,,,23,23,0.0,,,,,"[{'GameKey': '202311626', 'SeasonType': 1, 'PlayerID': 1694, 'Team': 'NYG', 'Season': 2023, 'Week': 16, 'ScoringType': 'FieldGoalMade', 'Length': 42, 'ScoringDetailID': 505918, 'PlayerGameID': 991064195, 'ScoringPlayID': 175598}, {'GameKey': '202311723', 'SeasonType': 1, 'PlayerID': 1694, 'Team': 'NYG', 'Season': 2023, 'Week': 17, 'ScoringType': 'FieldGoalMade', 'Length': 25, 'ScoringDetailID': 511086, 'PlayerGameID': 991066112, 'ScoringPlayID': 175691}, {'GameKey': '202311723', 'SeasonType': 1, 'PlayerID': 1694, 'Team': 'NYG', 'Season': 2023, 'Week': 17, 'ScoringType': 'FieldGoalMade', 'Length': 26, 'ScoringDetailID': 511115, 'PlayerGameID': 991066112, 'ScoringPlayID': 175713}, {'GameKey': '202311723', 'SeasonType': 1, 'PlayerID': 1694, 'Team': 'NYG', 'Season': 2023, 'Week': 17, 'ScoringType': 'FieldGoalMissed', 'Length': 44, 'ScoringDetailID': 511144, 'PlayerGameID': 991066112, 'ScoringPlayID': 175736}, {'GameKey': '202311823', 'SeasonType': 1, 'PlayerID': 1694, 'Team': 'NYG', 'Season': 2023, 'Week': 18, 'ScoringType': 'FieldGoalMade', 'Length': 19, 'ScoringDetailID': 511286, 'PlayerGameID': 991071423, 'ScoringPlayID': 175843}, {'GameKey': '202311823', 'SeasonType': 1, 'PlayerID': 1694, 'Team': 'NYG', 'Season': 2023, 'Week': 18, 'ScoringType': 'FieldGoalMade', 'Length': 17, 'ScoringDetailID': 511346, 'PlayerGameID': 991071423, 'ScoringPlayID': 175888}, {'GameKey': '202311823', 'SeasonType': 1, 'PlayerID': 1694, 'Team': 'NYG', 'Season': 2023, 'Week': 18, 'ScoringType': 'FieldGoalMissed', 'Length': 36, 'ScoringDetailID': 511350, 'PlayerGameID': 991071423, 'ScoringPlayID': 175892}]"
2593,1,2023,NYJ,8,A.Rodgers,QB,OFF,1,1,1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.7,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,990985716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A.Rodgers,0.0,36,27,3,3,0,0,228,200,97,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,24,24,0.0,,,,,[]
3061,1,2023,CHI,84,M.Lewis,TE,OFF,17,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,2.6,23.4,4.7,0.7,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,10.4,64.6,3.8,0.0,0.7,0.0,0.0,0.7,TE,0.0,990984130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M.Lewis,0.0,43,39,5,268,0,14,920,865,358,,,0.0,7.1,0.0,0.0,0.0,0.0,0.0,10.4,7.1,,,6,6,10.4,,,,,"[{'GameKey': '202311606', 'SeasonType': 1, 'PlayerID': 3061, 'Team': 'CHI', 'Season': 2023, 'Week': 16, 'ScoringType': 'ReceivingTouchdown', 'Length': 1, 'ScoringDetailID': 505870, 'PlayerGameID': 991062984, 'ScoringPlayID': 175560}]"
3341,1,2023,ATL,93,C.Campbell,DL,DEF,17,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,19.4,6.5,4.2,23.4,13.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5,77.5,0.0,0.0,45.2,0.0,0.0,0.0,0.0,DL,0.0,990983968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C.Campbell,0.0,48,48,6,0,575,113,913,920,376,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2,2,0.0,,,,,"[{'GameKey': '202310902', 'SeasonType': 1, 'PlayerID': 3341, 'Team': 'ATL', 'Season': 2023, 'Week': 9, 'ScoringType': 'Safety', 'Length': 0, 'ScoringDetailID': 502180, 'PlayerGameID': 991033451, 'ScoringPlayID': 174587}]"
3617,1,2023,NYJ,76,D.Brown,OT,OFF,5,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,OL,0.0,990985717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D.Brown,0.0,45,41,5,90,0,7,358,381,158,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,24,24,0.0,,,,,[]
6489,1,2023,BAL,17,J.Johnson,QB,OFF,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,990984023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Johnson,0.0,44,40,4,0,0,0,852,867,353,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3,3,0.0,,,,,[]
7651,1,2023,NE,18,M.Slater,WR,OFF,16,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,WR,0.0,990984673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M.Slater,0.0,43,54,5,0,1,305,849,920,370,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,21,21,0.0,,,,,[]
8358,1,2023,LV,7,B.Hoyer,QB,OFF,3,3,1,33.9,18.6,186.6,44.3,3.6,6.5,0.0,1.3,41.0,38.8,0.7,5.2,2.0,-2.4,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,990984782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.Hoyer,0.0,45,39,4,65,0,0,845,915,351,,,0.0,4.5,0.0,0.0,0.0,0.0,0.0,4.5,4.5,,,25,25,4.5,,,,,[]
